date,dvol_close
2023-01-03,9.6700
2023-01-04,9.6800
2023-01-05,9.7600
2023-01-06,9.5600
2023-01-09,9.7300
2023-01-10,9.6300
2023-01-11,9.5300
2023-01-12,9.1700
2023-01-13,8.7900
2023-01-17,9.1500
2023-01-18,8.9900
2023-01-19,8.8800
2023-01-20,8.5900
2023-01-23,9.0100
2023-01-24,8.8100
2023-01-25,8.8100
2023-01-26,8.8000
2023-01-27,8.6000
2023-01-30,9.1300
2023-01-31,9.0900
2023-02-01,8.7000
2023-02-02,8.6600
2023-02-03,8.6300
2023-02-06,9.0000
2023-02-07,9.3300
2023-02-08,8.8400
2023-02-09,9.0500
2023-02-10,9.1500
2023-02-13,9.5900
2023-02-14,8.6400
2023-02-15,8.5000
2023-02-16,8.2700
2023-02-17,8.4400
2023-02-21,8.5100
2023-02-22,8.4900
2023-02-23,8.4800
2023-02-24,8.4900
2023-02-27,8.4500
2023-02-28,8.2400
2023-03-01,8.5100
2023-03-02,8.5000
2023-03-03,8.3500
2023-03-06,8.3700
2023-03-07,8.6100
2023-03-08,8.6800
2023-03-09,9.0200
2023-03-10,9.2600
2023-03-13,9.3300
2023-03-14,8.5600
2023-03-15,9.7900
2023-03-16,9.3700
2023-03-17,9.4900
2023-03-20,9.5900
2023-03-21,9.1200
2023-03-22,9.4900
2023-03-23,9.3000
2023-03-24,9.6200
2023-03-27,9.4100
2023-03-28,9.3100
2023-03-29,8.9200
2023-03-30,9.5500
2023-03-31,9.1000
2023-04-03,8.5800
2023-04-04,8.6500
2023-04-05,8.7700
2023-04-06,8.7100
2023-04-10,8.7100
2023-04-11,8.3700
2023-04-12,8.0900
2023-04-13,7.9800
2023-04-14,7.7100
2023-04-17,7.7500
2023-04-18,7.7600
2023-04-19,7.9700
2023-04-20,8.3300
2023-04-21,7.9100
2023-04-24,7.8000
2023-04-25,8.1500
2023-04-26,8.6600
2023-04-27,8.3800
2023-04-28,8.0400
2023-05-01,8.3800
2023-05-02,8.5200
2023-05-03,8.5400
2023-05-04,8.5300
2023-05-05,8.0000
2023-05-08,8.0000
2023-05-09,7.9800
2023-05-10,7.9800
2023-05-11,7.9800
2023-05-12,7.9800
2023-05-15,7.7700
2023-05-16,7.1800
2023-05-17,7.4700
2023-05-18,7.3200
2023-05-19,7.3200
2023-05-22,7.5400
2023-05-23,7.9100
2023-05-24,7.7900
2023-05-25,7.7400
2023-05-26,7.5300
2023-05-30,7.5400
2023-05-31,7.6700
2023-06-01,7.2000
2023-06-02,6.9100
2023-06-05,7.0600
2023-06-06,7.0600
2023-06-07,6.8600
2023-06-08,7.0200
2023-06-09,7.0200
2023-06-12,6.7200
2023-06-13,6.4300
2023-06-14,6.0700
2023-06-15,6.9600
2023-06-16,5.9700
2023-06-20,6.2700
2023-06-21,6.1300
2023-06-22,6.0000
2023-06-23,6.0200
2023-06-26,6.6400
2023-06-27,6.5900
2023-06-28,6.7200
2023-06-29,6.6600
2023-06-30,6.6400
2023-07-03,6.7400
2023-07-05,7.7000
2023-07-06,6.9700
2023-07-07,6.5800
2023-07-10,6.6700
2023-07-11,6.6700
2023-07-12,6.7600
2023-07-13,6.7600
2023-07-14,6.7600
2023-07-17,7.0300
2023-07-18,7.0900
2023-07-19,6.9300
2023-07-20,7.1900
2023-07-21,6.9300
2023-07-24,7.3800
2023-07-25,7.2900
2023-07-26,7.1000
2023-07-27,7.3300
2023-07-28,7.1200
2023-07-31,7.3200
2023-08-01,7.1000
2023-08-02,7.2700
2023-08-03,7.3900
2023-08-04,6.9100
2023-08-07,7.0900
2023-08-08,6.8700
2023-08-09,6.8700
2023-08-10,6.8700
2023-08-11,6.8700
2023-08-14,7.1800
2023-08-15,7.0500
2023-08-16,7.0800
2023-08-17,7.2100
2023-08-18,7.3000
2023-08-21,7.1700
2023-08-22,7.3500
2023-08-23,7.3300
2023-08-24,7.6800
2023-08-25,7.3400
2023-08-28,7.4400
2023-08-29,7.0700
2023-08-30,6.9100
2023-08-31,7.3000
2023-09-01,7.1800
2023-09-05,7.5800
2023-09-06,7.6000
2023-09-07,7.6000
2023-09-08,7.3000
2023-09-11,7.1800
2023-09-12,7.1900
2023-09-13,7.3600
2023-09-14,6.6500
2023-09-15,6.9200
2023-09-18,6.7500
2023-09-19,6.9200
2023-09-20,6.8000
2023-09-21,7.2500
2023-09-22,6.8100
2023-09-25,7.0800
2023-09-26,7.2500
2023-09-27,7.6000
2023-09-28,7.4600
2023-09-29,7.3000
2023-10-02,7.9700
2023-10-03,8.1700
2023-10-04,8.0400
2023-10-05,7.7900
2023-10-06,7.6900
2023-10-09,7.8300
2023-10-10,7.8200
2023-10-11,7.5300
2023-10-12,7.5300
2023-10-13,7.8000
2023-10-16,7.5200
2023-10-17,7.4700
2023-10-18,7.9600
2023-10-19,7.8000
2023-10-20,8.0800
2023-10-23,7.7800
2023-10-24,7.6100
2023-10-25,7.5700
2023-10-26,7.2200
2023-10-27,7.1600
2023-10-30,7.3500
2023-10-31,7.2500
2023-11-01,6.7000
2023-11-02,7.1500
2023-11-03,6.9700
2023-11-06,6.9700
2023-11-07,6.9700
2023-11-08,6.9700
2023-11-09,6.8000
2023-11-10,6.8000
