date,open,high,low,close
2023-01-03,83.930000,84.089996,81.019997,81.529999
2023-01-04,82.180000,83.580002,81.849998,83.239998
2023-01-05,82.849998,83.000000,81.760002,82.519997
2023-01-06,82.760002,83.989998,81.150002,83.160004
2023-01-09,83.720001,83.809998,81.110001,81.269997
2023-01-10,81.150002,83.580002,81.099998,83.580002
2023-01-11,84.059998,84.529999,82.230003,84.379997
2023-01-12,84.720001,87.970001,83.339996,87.919998
2023-01-13,87.010002,89.629997,86.339996,87.879997
2023-01-17,87.790001,87.930000,86.290001,86.860001
2023-01-18,87.480003,88.900002,85.690002,85.779999
2023-01-19,85.470001,85.830002,84.160004,84.889999
2023-01-20,85.769997,87.150002,84.989998,86.989998
2023-01-23,87.019997,87.949997,86.190002,87.160004
2023-01-24,87.139999,89.300003,86.260002,88.820000
2023-01-25,88.050003,88.910004,86.980003,88.900002
2023-01-26,89.599998,90.000000,87.680000,88.589996
2023-01-27,88.559998,90.010002,88.389999,89.389999
2023-01-30,88.709999,89.000000,86.540001,87.099998
2023-01-31,87.400002,89.110001,87.400002,88.900002
2023-02-01,88.919998,90.669998,87.620003,89.739998
2023-02-02,90.529999,92.599998,89.959999,91.970001
2023-02-03,90.680000,91.980003,89.940002,90.389999
2023-02-06,89.790001,90.779999,89.029999,89.699997
2023-02-07,89.680000,90.489998,88.160004,90.320000
2023-02-08,90.120003,90.169998,87.099998,87.190002
2023-02-09,87.860001,88.410004,85.769997,86.089996
2023-02-10,85.629997,86.180000,84.639999,85.620003
2023-02-13,85.379997,86.339996,84.230003,85.559998
2023-02-14,85.199997,86.790001,84.440002,85.879997
2023-02-15,85.269997,86.120003,84.769997,86.059998
2023-02-16,85.510002,86.059998,84.529999,84.769997
2023-02-17,84.779999,87.019997,84.220001,86.800003
2023-02-21,85.830002,86.089996,82.750000,82.769997
2023-02-22,82.889999,83.970001,82.720001,83.629997
2023-02-23,84.160004,84.330002,82.279999,83.470001
2023-02-24,82.410004,82.610001,81.379997,81.470001
2023-02-27,82.599998,83.089996,81.860001,82.129997
2023-02-28,82.010002,83.309998,81.919998,82.849998
2023-03-01,82.820000,83.750000,82.470001,83.099998
2023-03-02,82.279999,82.830002,81.750000,82.419998
2023-03-03,82.699997,84.290001,82.070000,83.589996
2023-03-06,84.010002,84.070000,81.570000,82.169998
2023-03-07,82.099998,83.190002,81.709999,82.070000
2023-03-08,81.940002,82.070000,80.610001,81.230003
2023-03-09,81.540001,81.790001,78.169998,78.730003
2023-03-10,78.430000,78.580002,73.870003,75.660004
2023-03-13,74.989998,78.709999,74.989998,77.860001
2023-03-14,79.360001,79.930000,77.900002,79.029999
2023-03-15,77.860001,78.699997,77.040001,78.050003
2023-03-16,77.610001,78.980003,76.019997,78.230003
2023-03-17,77.160004,77.540001,75.739998,76.500000
2023-03-20,76.900002,77.099998,75.699997,76.779999
2023-03-21,77.320000,77.389999,75.839996,76.019997
2023-03-22,76.029999,76.120003,73.059998,73.129997
2023-03-23,74.040001,74.980003,72.610001,73.720001
2023-03-24,73.430000,74.510002,72.440002,74.190002
2023-03-27,74.690002,75.599998,74.220001,74.949997
2023-03-28,75.010002,75.559998,74.379997,74.449997
2023-03-29,75.220001,76.370003,74.529999,76.320000
2023-03-30,76.639999,76.720001,74.099998,74.669998
2023-03-31,75.199997,76.529999,74.900002,76.209999
2023-04-03,76.110001,77.550003,76.029999,77.059998
2023-04-04,77.180000,77.349998,74.750000,75.570000
2023-04-05,75.150002,76.239998,74.889999,75.379997
2023-04-06,75.269997,77.029999,74.910004,76.870003
2023-04-10,76.739998,76.739998,75.559998,76.150002
2023-04-11,76.269997,77.349998,76.250000,76.879997
2023-04-12,77.730003,77.889999,75.910004,76.050003
2023-04-13,76.320000,80.000000,76.099998,79.430000
2023-04-14,79.419998,79.440002,77.320000,78.190002
2023-04-17,79.449997,82.129997,79.150002,81.830002
2023-04-18,82.379997,82.500000,80.559998,81.330002
2023-04-19,80.660004,82.800003,80.559998,82.349998
2023-04-20,81.559998,81.629997,80.389999,80.620003
2023-04-21,80.669998,82.459999,80.580002,82.269997
2023-04-24,82.190002,82.300003,80.339996,81.220001
2023-04-25,81.269997,82.000000,79.510002,80.010002
2023-04-26,79.750000,80.440002,78.599998,79.349998
2023-04-27,79.379997,79.500000,78.199997,78.800003
2023-04-28,78.720001,80.930000,77.970001,80.199997
2023-05-01,80.300003,82.669998,79.930000,82.070000
2023-05-02,81.660004,82.070000,79.470001,79.730003
2023-05-03,81.080002,84.449997,80.900002,83.209999
2023-05-04,83.129997,84.449997,82.050003,83.980003
2023-05-05,84.919998,86.070000,84.559998,85.379997
2023-05-08,85.599998,85.599998,84.129997,85.000000
2023-05-09,84.370003,86.610001,83.940002,85.910004
2023-05-10,87.580002,87.970001,86.360001,87.279999
2023-05-11,87.000000,87.419998,85.620003,86.010002
2023-05-12,86.379997,86.510002,84.690002,85.430000
2023-05-15,85.720001,88.529999,85.570000,87.550003
2023-05-16,85.760002,85.900002,84.370003,85.029999
2023-05-17,85.230003,85.779999,83.669998,85.739998
2023-05-18,85.410004,85.480003,83.199997,84.730003
2023-05-19,85.379997,86.169998,84.959999,85.370003
2023-05-22,85.889999,87.900002,85.849998,87.470001
2023-05-23,87.559998,89.830002,87.370003,87.489998
2023-05-24,86.750000,86.900002,85.050003,85.790001
2023-05-25,85.610001,85.669998,82.610001,83.550003
2023-05-26,83.680000,84.470001,83.070000,84.309998
2023-05-30,84.610001,85.589996,82.650002,83.139999
2023-05-31,83.190002,85.500000,82.940002,83.919998
2023-06-01,84.300003,85.500000,83.120003,85.080002
2023-06-02,85.870003,86.430000,84.730003,86.430000
2023-06-05,86.000000,87.279999,85.930000,86.709999
2023-06-06,86.980003,88.279999,86.279999,88.120003
2023-06-07,88.150002,88.889999,87.010002,88.209999
2023-06-08,88.110001,88.669998,87.290001,88.120003
