period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,174.95599365234375,3500.0,4.630021430472715,156.25,3341.2450063476563,-2.504993652343728,-1.743988037109375,1,-4.248981689453103,-4.248981689453103
2020-10-05_2020-10-30,2020-10-05,2020-10-30,159.9600067138672,3200.0,5.235683701227275,151.8074951171875,3056.789993286133,8.597488403320312,-1.7714996337890625,1,6.82598876953125,2.577007080078147
2020-11-02_2020-11-27,2020-11-02,2020-11-27,150.2239990234375,3005.0,5.303413603546137,159.76699829101562,2870.7100009765627,25.47699926757832,-9.542999267578125,0,15.934000000000196,18.511007080078343
2020-12-28_2021-01-22,2020-12-28,2021-01-22,164.197998046875,3285.0,3.0755551590576236,164.6114959716797,3130.9020019531254,10.513497924805051,-10.146499633789062,1,0.3669982910159888,18.878005371094332
2021-01-25_2021-02-19,2021-01-25,2021-02-19,164.6999969482422,3295.0,4.210686173952607,162.4949951171875,3144.1700030517577,11.664998168945203,-0.9819793701171875,1,10.683018798828016,29.561024169922348
2021-02-22_2021-03-19,2021-02-22,2021-03-19,159.03700256347656,3180.0,3.0646955874653363,153.7480010986328,3030.710997436523,4.4589985351558425,5.28900146484375,0,9.747999999999593,39.30902416992194
2021-03-22_2021-04-16,2021-03-22,2021-04-16,155.5435028076172,3110.0,2.5796641631266533,169.9720001220703,2962.4814971923824,22.45349731445276,-16.808502197265625,1,5.644995117187136,44.95401928710908
2021-04-19_2021-05-14,2021-04-19,2021-05-14,168.60049438476562,3370.0,3.4993966189301466,161.14500427246094,3213.1995056152346,4.344509887695494,1.4415130615234375,1,5.786022949218932,50.74004223632801
2021-05-17_2021-06-11,2021-05-17,2021-06-11,163.51950073242188,3270.0,2.699066460105031,167.3415069580078,3115.3074992675784,12.649006225586163,-7.6330108642578125,1,5.0159953613283506,55.75603759765636
2021-07-12_2021-08-06,2021-07-12,2021-08-06,185.92750549316406,3720.0,3.522878437284698,167.2469940185547,3547.1724945068363,-5.580511474609011,-20.415496826171875,1,-25.996008300780886,29.760029296875473
2021-08-09_2021-09-03,2021-08-09,2021-09-03,167.093505859375,3340.0,2.083264685899637,173.90249633789062,3179.8684941406254,13.770990478516069,-6.808990478515625,0,6.962000000000444,36.72202929687592
2021-09-03_2021-10-01,2021-09-03,2021-10-01,173.90249633789062,3480.0,2.2872012097352306,164.16299438476562,3314.0525036621093,-1.7845019531250728,-2.49249267578125,1,-4.276994628906323,32.445034667969594
2021-11-01_2021-11-26,2021-11-01,2021-11-26,165.90550231933594,3320.0,2.3067348258490954,175.22799682617188,3161.7484976806645,16.97649450683639,-9.322494506835938,0,7.654000000000451,40.099034667970045
2021-12-27_2022-01-21,2021-12-27,2022-01-21,169.66949462890625,3395.0,2.7618400174109174,142.64300537109375,3234.702505371094,-17.6544892578122,27.0264892578125,0,9.372000000000298,49.47103466797034
2022-01-24_2022-02-18,2022-01-24,2022-02-18,144.54400634765625,2890.0,5.014389861705618,152.60150146484375,2759.951993652344,22.553495117187595,-8.0574951171875,0,14.496000000000095,63.96703466797044
2022-02-18_2022-03-18,2022-02-18,2022-03-18,152.60150146484375,3050.0,3.7728986574397565,161.25050354003906,2908.9134985351566,20.16400207519564,-8.649002075195312,0,11.515000000000327,75.48203466797077
2022-04-18_2022-05-13,2022-04-18,2022-05-13,152.78500366210938,3055.0,4.558366222513756,113.05500030517578,2916.1439963378907,-25.801003356933506,39.730003356933594,0,13.929000000000087,89.41103466797085
2022-05-16_2022-06-10,2022-05-16,2022-06-10,110.81050109863281,2215.0,5.078489803950027,109.6500015258789,2115.4444989013673,10.094500427246203,1.1604995727539062,0,11.25500000000011,100.66603466797096
2022-06-13_2022-07-08,2022-06-13,2022-07-08,103.66999816894531,103.5,5.401755665968071,115.54000091552734,11.369998168945312,-0.670002746582032,-13.709999084472656,1,-14.380001831054688,86.28603283691628
2022-07-11_2022-08-05,2022-07-11,2022-08-05,111.75,112.0,5.619686800894855,140.8000030517578,12.81,-15.990003051757812,25.449996948242188,1,9.459993896484375,95.74602673340065
2022-08-08_2022-09-02,2022-08-08,2022-09-02,139.41000366210938,139.0,3.5865431953639377,127.51000213623047,10.410003662109375,-1.0799942016601562,-5.420005798339844,1,-6.5,89.24602673340065
2022-09-02_2022-09-30,2022-09-02,2022-09-30,127.51000213623047,128.0,4.587875383885506,113.0,12.18999786376953,-2.8100021362304695,9.190010070800781,2,6.380007934570312,95.62603466797097
2022-10-03_2022-10-28,2022-10-03,2022-10-28,115.87999725341797,116.0,5.410769890068376,103.41000366210938,12.66000274658203,0.0700064086914054,-1.9899978637695312,4,-1.9199914550781259,93.70604321289284
2022-10-31_2022-11-25,2022-10-31,2022-11-25,102.44000244140625,102.0,4.187817159076894,93.41000366210938,9.02000244140625,0.43000610351562507,9.029998779296875,0,9.4600048828125,103.16604809570534
2022-11-28_2022-12-23,2022-11-28,2022-12-23,93.94999694824219,94.0,4.406599398061459,85.25,8.330003051757812,-0.41999694824218814,8.699996948242188,0,8.28,111.44604809570534
2022-12-23_2023-01-20,2022-12-23,2023-01-20,85.25,85.0,4.269794721407625,97.25,7.53,-4.72,10.339996337890625,1,5.619996337890625,117.06604443359596
2023-01-23_2023-02-17,2023-01-23,2023-02-17,97.5199966430664,98.0,5.486054331586547,97.19999694824219,11.180003356933593,10.38000030517578,-4.180000305175781,3,6.199999999999999,123.26604443359597
2023-02-17_2023-03-17,2023-02-17,2023-03-17,97.19999694824219,97.0,3.786008349320788,98.94999694824219,7.559996948242188,5.61,-3.9300079345703125,1,1.6799920654296878,124.94603649902565
2023-03-20_2023-04-14,2023-03-20,2023-04-14,97.70999908447266,98.0,4.0425750046166,102.51000213623047,8.190000915527344,3.6799987792968754,-4.339996337890625,2,-0.6599975585937496,124.28603894043191
2023-04-17_2023-05-12,2023-04-17,2023-05-12,102.73999786376953,103.0,4.817987252212684,110.26000213623047,10.160002136230469,2.9000000000000004,-4.5200042724609375,4,-1.6200042724609371,122.66603466797098
2023-05-15_2023-06-09,2023-05-15,2023-06-09,111.19999694824219,111.0,2.6978418006579115,123.43000030517578,6.1999969482421875,-6.230003356933594,12.230003356933594,0,6.0,128.66603466797096
2023-06-12_2023-07-07,2023-06-12,2023-07-07,126.56999969482422,127.0,3.0022912294874504,129.77999877929688,8.030000305175781,5.250001525878906,3.2099990844726562,0,8.460000610351562,137.12603527832252
2023-07-10_2023-08-04,2023-07-10,2023-08-04,127.12999725341797,127.0,4.247620637665685,139.57000732421875,10.92999725341797,-1.6400100708007805,12.440010070800781,0,10.8,147.92603527832253
2023-08-07_2023-09-01,2023-08-07,2023-09-01,142.22000122070312,142.0,2.8477007208817526,138.1199951171875,8.320001220703125,4.439996337890625,-13.899993896484375,1,-9.45999755859375,138.46603771972877
2023-09-01_2023-09-29,2023-09-01,2023-09-29,138.1199951171875,138.0,2.4761078199418636,127.12000274658203,6.9599951171875,-3.920002136230469,10.020011901855469,1,6.100009765625,144.56604748535378
2023-10-02_2023-10-27,2023-10-02,2023-10-27,129.4600067138672,129.0,3.607291640515395,127.73999786376953,9.800006713867187,8.540004577636719,-5.679985046386719,2,2.86001953125,147.42606701660378
2023-10-30_2023-11-24,2023-10-30,2023-11-24,132.7100067138672,133.0,3.2024713925026935,146.74000549316406,8.789993286132812,-4.95001220703125,14.029998779296875,0,9.079986572265625,156.5060535888694
2023-11-27_2023-12-22,2023-11-27,2023-12-22,147.72999572753906,148.0,2.4707236888652977,153.4199981689453,7.570004272460937,2.150006103515625,5.69000244140625,0,7.840008544921875,164.3460621337913
2023-12-22_2024-01-19,2023-12-22,2024-01-19,153.4199981689453,152.5,2.1835484552092077,155.33999633789062,7.619998168945312,4.780001831054687,-5.6800079345703125,2,-0.9000061035156257,163.44605603027566
2024-01-22_2024-02-16,2024-01-22,2024-02-16,154.77999877929688,155.0,3.844165943226421,169.50999450683594,12.120001220703125,-2.389993286132812,14.729995727539062,0,12.34000244140625,175.7860584716819
2024-02-16_2024-03-15,2024-02-16,2024-03-15,169.50999450683594,170.0,2.825792080246236,174.4199981689453,10.070005493164063,5.65000732421875,4.910003662109375,0,10.560010986328125,186.34606945801005
2024-03-18_2024-04-12,2024-03-18,2024-04-12,174.47999572753906,175.0,2.5504356424612373,186.1300048828125,9.420004272460938,-1.7100006103515621,11.650009155273438,0,9.940008544921875,196.28607800293193
2024-04-15_2024-05-10,2024-04-15,2024-05-10,183.6199951171875,185.0,4.4766366510106606,187.47999572753906,17.8200048828125,15.340009155273439,-6.0000152587890625,2,9.339993896484376,205.6260718994163
2024-05-13_2024-06-07,2024-05-13,2024-06-07,186.57000732421875,185.0,1.8491718199938956,184.3000030517578,8.47000732421875,7.770010375976563,-3.6100006103515625,1,4.160009765625,209.7860816650413
2024-06-10_2024-07-05,2024-06-10,2024-07-05,187.05999755859375,185.0,1.6037635192742346,200.0,8.05999755859375,-6.94000244140625,12.94000244140625,0,6.0,215.7860816650413
2024-07-08_2024-08-02,2024-07-08,2024-08-02,199.2899932861328,200.0,4.280194835348786,167.89999389648438,17.770006713867186,-14.329999389648439,18.250015258789062,1,3.9200158691406237,219.70609753418194
2024-08-05_2024-08-30,2024-08-05,2024-08-30,161.02000427246094,160.0,4.204446541030098,178.5,14.560004272460937,-3.9399957275390634,-16.919998168945312,1,-20.859993896484376,198.84610363769755
2024-08-30_2024-09-27,2024-08-30,2024-09-27,178.5,180.0,2.8739495798319328,187.97000122070312,11.76,3.789998779296875,-12.910003662109375,2,-9.1200048828125,189.72609875488504
2024-09-30_2024-10-25,2024-09-30,2024-10-25,186.3300018310547,185.0,2.522406458333794,187.8300018310547,10.730001831054688,7.9,-16.97998046875,5,-9.07998046875,180.64611828613505
2024-10-28_2024-11-22,2024-10-28,2024-11-22,188.38999938964844,190.0,4.538457469982774,197.1199951171875,18.710000610351564,11.590005493164064,-19.210006713867188,3,-7.620001220703124,173.02611706543192
2024-11-25_2024-12-20,2024-11-25,2024-12-20,201.4499969482422,202.5,3.0280467075744113,224.9199981689453,13.250003051757812,-9.1699951171875,23.470001220703125,0,14.300006103515624,187.32612316894753
2024-12-23_2025-01-17,2024-12-23,2025-01-17,225.05999755859375,225.0,2.4882253891174306,225.94000244140625,11.25999755859375,10.3199951171875,-29.55999755859375,4,-19.24000244140625,168.08612072754127
2025-01-17_2025-02-14,2025-01-17,2025-02-14,225.94000244140625,225.0,3.6956713772566383,228.67999267578125,17.64000244140625,13.960009765625,2.739990234375,0,16.7,184.78612072754126
2025-02-14_2025-03-14,2025-02-14,2025-03-14,228.67999267578125,230.0,2.8423999511035465,197.9499969482422,14.32000732421875,-17.729995727539062,30.729995727539062,0,13.0,197.78612072754126
2025-03-17_2025-04-11,2025-03-17,2025-04-11,195.74000549316406,195.0,3.141922870853695,184.8699951171875,13.040005493164065,2.910000610351565,10.870010375976562,0,13.780010986328127,211.5661317138694
2025-04-14_2025-05-09,2025-04-14,2025-05-09,182.1199951171875,180.0,4.590380092323552,193.05999755859375,18.8399951171875,5.779997558593749,2.100006103515625,1,7.880003662109374,219.44613537597877
2025-05-12_2025-06-06,2025-05-12,2025-06-06,208.63999938964844,210.0,3.0195552235572767,213.57000732421875,13.960000610351562,10.389993286132812,4.9300079345703125,0,15.320001220703125,234.7661365966819
2025-07-07_2025-08-01,2025-07-07,2025-08-01,223.47000122070312,225.0,4.233230388116895,214.75,20.449998779296877,10.199998779296877,-8.720001220703125,1,1.4799975585937517,236.24613415527563
2025-08-04_2025-08-29,2025-08-04,2025-08-29,211.64999389648438,210.0,2.338766899478858,229.0,11.549993896484375,-7.450006103515625,-8.470001220703125,1,-15.92000732421875,220.32612683105688
2025-08-29_2025-09-26,2025-08-29,2025-09-26,229.0,230.0,2.6200873362445414,219.77999877929688,13.0,2.779998779296875,-20.759979248046875,5,-17.97998046875,202.34614636230688
2025-09-29_2025-10-24,2025-09-29,2025-10-24,222.1699981689453,220.0,2.4035648575462876,224.2100067138672,12.849998168945312,8.639991455078125,-15.3800048828125,3,-6.740013427734375,195.6061329345725
2025-10-27_2025-11-21,2025-10-27,2025-11-21,226.97000122070312,227.5,4.242851455349774,220.69000244140625,19.789998779296877,12.980001220703127,-2.55999755859375,1,10.420003662109377,206.02613659668188
2025-11-24_2025-12-19,2025-11-24,2025-12-19,226.27999877929688,227.5,3.6017323864090773,227.35000610351562,17.520001220703126,17.37000732421875,-24.910003662109375,4,-7.539996337890624,198.48614025879127
2025-12-22_2026-01-16,2025-12-22,2026-01-16,228.42999267578125,227.5,2.2632754742228456,239.1199951171875,11.26999267578125,-0.35000244140625014,-2.42999267578125,2,-2.7799951171875,195.70614514160377
2026-01-16_2026-02-13,2026-01-16,2026-02-13,239.1199951171875,240.0,4.4956508111049684,198.7899932861328,22.3800048828125,-18.830001831054688,11.970016479492188,3,-6.8599853515625,188.84615979004127
2026-02-13_2026-03-13,2026-02-13,2026-03-13,198.7899932861328,200.0,3.8583431053091357,207.6699981689453,16.550006713867187,8.880008544921875,-8.8800048828125,0,3.6621093748578915e-06,188.84616345215065
