variant,n,win%,avg%/mo,sd,Sharpe,Sortino,maxDD_pp,Calmar,worst,VaR95,CVaR95,skew,total_pp
BURST (as spec'd),237,10.549,-0.053,0.924,-0.2,-0.213,-19.971,-0.032,-7.916,0.0,-2.958,-5.682,-12.622
weekly PW always,237,66.245,-0.074,2.366,-0.108,-0.119,-41.857,-0.021,-21.347,-4.051,-7.416,-4.026,-17.542

burst_start,burst_end,pnl_pct
2008-05-05,2008-07-11,-5.008
2009-01-05,2009-03-13,4.137
2010-08-02,2010-10-08,0.852
2011-11-07,2012-01-13,1.561
2016-04-04,2016-06-10,1.668
2018-12-03,2019-02-08,-5.51
2020-05-04,2020-07-10,-1.623
2022-04-04,2022-06-10,-5.365
2022-08-01,2022-10-07,-6.918
2022-11-07,2023-01-13,0.79
2023-12-04,2024-02-09,1.79
2025-06-02,2025-08-08,1.004
