month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,1576.833496,1600,1586.5354,186.29,0.0,-573.3,14.84,7,-401.85,-25.484
2023-02,1641.792725,1650,1605.895142,183.37,0.0,-284.49,9.65,3,-110.77,-6.747
2023-03,1663.433716,1650,1822.022095,47.43,0.0,115.37,8.4,2,154.4,9.282
2023-04,1813.860596,1800,1876.924316,165.78,0.0,55.73,5.57,0,215.94,11.905
2023-05,1831.954834,1850,1874.130493,196.82,0.0,-178.13,11.39,3,7.31,0.399
2023-06,1862.201416,1850,1933.188965,88.45,0.0,-191.38,13.13,4,-116.06,-6.232
2023-07,1924.565918,1900,1856.162354,156.17,0.0,-318.81,11.67,3,-174.31,-9.057
2023-08,1871.792114,1850,1645.63916,-39.76,0.0,227.83,5.69,0,182.38,9.744
2023-09,1628.491211,1650,1671.161865,124.45,0.0,-6.28,6.64,1,111.53,6.849
2023-10,1733.810425,1750,1816.458984,79.37,0.0,-34.84,11.86,4,32.68,1.885
2023-11,1847.089722,1850,2052.556152,9.24,0.0,205.3,5.74,0,208.8,11.304
2023-12,2087.139893,2100,2281.471191,52.5,0.0,193.81,6.57,0,239.74,11.487
2024-01,2352.327881,2350,2282.544434,274.88,0.0,-257.91,14.11,3,2.86,0.122
2024-02,2303.824707,2300,3341.919678,-828.37,0.0,901.1,9.8,1,62.93,2.731
2024-03,3435.053955,3450,3647.856445,299.17,0.0,211.7,10.76,0,500.12,14.559
2024-04,3505.030029,3500,3012.286865,75.52,0.0,-863.49,23.67,4,-811.64,-23.156
2024-05,2969.784668,2950,3760.026611,-343.62,0.0,657.79,12.64,1,301.54,10.154
2024-06,3813.198975,3800,3432.88916,171.71,0.0,-547.98,29.04,5,-405.31,-10.629
2024-07,3440.341553,3450,3231.295654,215.77,0.0,-386.6,20.67,3,-191.51,-5.566
2024-08,3201.564453,3200,2513.393799,-323.06,0.0,688.21,9.58,0,355.57,11.106
2024-09,2427.902344,2450,2603.062744,191.51,0.0,-139.9,14.72,3,36.89,1.52
2024-10,2448.921143,2450,2515.799316,259.81,0.0,-247.1,15.1,3,-2.39,-0.098
2024-11,2511.885498,2500,3705.705322,-869.44,0.0,769.9,10.98,1,-110.52,-4.4
2024-12,3711.165039,3700,3332.531738,215.49,0.0,-528.97,21.56,3,-335.04,-9.028
2025-01,3353.50415,3350,3298.265137,442.71,0.0,-664.84,33.68,7,-255.81,-7.628
2025-02,3118.328613,3100,2237.905273,-442.84,0.0,880.71,8.76,0,429.11,13.761
2025-03,2216.643311,2200,1823.47998,-57.59,0.0,393.04,6.67,0,328.77,14.832
2025-04,1905.491455,1900,1793.775391,155.95,0.0,111.71,5.76,0,261.9,13.744
2025-05,1839.221558,1850,2529.087402,-417.57,0.0,689.91,6.05,0,266.3,14.479
2025-06,2536.266357,2550,2486.464355,321.0,0.0,-1.02,10.22,1,309.77,12.214
2025-07,2405.792725,2400,3696.707764,-985.72,0.0,960.97,10.67,1,-35.42,-1.472
2025-08,3488.365967,3500,4390.019043,-377.33,0.0,902.06,11.26,0,513.47,14.72
2025-09,4314.470215,4300,4145.95752,477.41,0.0,-54.31,17.28,1,405.83,9.406
2025-10,4351.112305,4350,3847.080322,62.8,0.0,-1026.78,25.14,3,-989.12,-22.733
2025-11,3874.187988,3850,2992.112549,-295.75,0.0,881.78,11.38,0,574.65,14.833
2025-12,2800.188965,2800,2967.037598,261.01,0.0,-375.24,15.04,2,-129.26,-4.616
2026-01,3000.394287,3000,2445.091797,-191.18,0.0,426.22,11.96,1,223.07,7.435
2026-02,2267.964844,2250,1965.050537,26.65,0.0,302.51,6.54,0,322.62,14.225
2026-03,1939.06665,1950,2104.708252,146.04,0.0,-431.76,14.62,4,-300.34,-15.489
2026-04,2138.737061,2150,2256.251221,216.79,0.0,13.07,10.75,2,219.11,10.245
2026-05,2295.09375,2300,2004.341553,-32.11,0.0,51.23,16.22,4,2.9,0.126
2026-06,2003.221191,2000,1726.510864,-100.33,0.0,276.75,5.17,0,171.25,8.549
