month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,1941.2,1940,1929.5,19.5102,0.0,-8.9,0.7744,1,9.8358,0.5067
2023-02,1927.8,1930,1828.9,-41.5947,0.0,123.4,0.5746,0,81.2307,4.2136
2023-03,1837.7,1840,1969.0,-73.1284,0.0,-19.4001,0.9277,2,-93.4562,-5.0855
2023-04,1983.9,1985,1990.1,64.0438,0.0,-12.0999,0.7936,1,51.1503,2.5783
2023-05,1983.4,1985,1963.9,48.4046,0.0,-36.2001,0.9947,2,11.2099,0.5652
2023-06,1978.0,1980,1921.1,5.1573,0.0,-3.2,0.7853,1,1.1721,0.0593
2023-07,1921.7,1920,1970.5,-2.0941,0.0,46.8,0.7714,1,43.9345,2.2862
2023-08,1940.7,1940,1938.2,46.1649,0.0,10.2001,0.5825,0,55.7825,2.8744
2023-09,1939.8,1940,1848.1,-48.1808,0.0,47.1001,1.1542,3,-2.2349,-0.1152
2023-10,1830.0,1830,1985.2,-102.8606,0.0,-10.6001,0.7475,1,-114.2082,-6.2409
2023-11,1978.8,1980,2038.1,4.6217,0.0,26.7998,0.9886,2,30.4329,1.5379
2023-12,2071.0,2070,2062.3999,63.2587,0.0,-69.9001,1.0248,2,-7.6662,-0.3702
2024-01,2064.3999,2065,2048.3999,49.7291,0.0,-51.1999,1.4312,4,-2.902,-0.1406
2024-02,2053.0,2055,2045.7,48.7219,0.0,-13.7,1.021,2,34.0009,1.6562
2024-03,2086.8999,2085,2217.3999,-75.5981,0.0,133.7998,0.6324,0,57.5693,2.7586
2024-04,2236.5,2235,2291.3999,18.6628,0.0,39.3999,0.6745,0,57.3882,2.566
2024-05,2299.8999,2300,2322.8999,54.1414,0.0,-50.5999,1.1632,2,2.3784,0.1034
2024-06,2346.6001,2345,2327.7,54.8611,0.0,-102.7996,1.632,4,-49.5704,-2.1124
2024-07,2327.6001,2330,2426.5,-22.8929,0.0,-29.4001,1.4165,3,-53.7095,-2.3075
2024-08,2435.0,2435,2493.8,27.9947,0.0,34.2,1.2176,2,60.9771,2.5042
2024-09,2489.8999,2490,2636.1001,-65.5182,0.0,37.3999,1.5071,3,-29.6253,-1.1898
2024-10,2667.3,2665,2738.3,30.9719,0.0,-16.3,1.3287,2,13.3432,0.5002
2024-11,2738.6001,2740,2657.0,23.4692,0.0,-192.2998,1.615,3,-170.4455,-6.2238
2024-12,2634.8999,2635,2629.2,81.3935,0.0,1.8,1.3224,2,81.8711,3.1072
2025-01,2658.8999,2660,2812.5,-70.2944,0.0,153.8,0.8053,0,82.7003,3.1103
2025-02,2833.8999,2835,2836.8,88.8279,0.0,9.2,0.85,0,97.1779,3.4291
2025-03,2890.2,2890,3122.8,-135.9704,0.0,101.7,1.7507,3,-36.0211,-1.2463
2025-04,3118.8999,3120,3305.0,-70.5813,0.0,69.3,1.5541,2,-2.8354,-0.0909
2025-05,3210.0,3210,3288.8999,60.8594,0.0,-325.0,1.9575,3,-266.0982,-8.2897
2025-06,3370.6001,3370,3294.3999,63.0987,0.0,-219.6997,2.0125,3,-158.6135,-4.7058
2025-07,3336.7,3335,3293.2,75.0298,0.0,-190.2,2.3329,4,-117.5031,-3.5215
2025-08,3347.7,3350,3473.7,-6.2118,0.0,86.4998,1.6838,2,78.6042,2.348
2025-09,3549.3999,3550,3840.8,-150.3525,0.0,286.0,1.0797,0,134.5678,3.7913
2025-10,3867.5,3870,3982.2,41.9779,0.0,126.0,1.1654,0,166.8124,4.3132
2025-11,4000.3,4000,4218.2998,-57.2663,0.0,224.0999,1.2107,0,165.6229,4.1403
2025-12,4239.2998,4240,4325.6001,118.8004,0.0,95.1001,1.2757,0,212.6249,5.0156
2026-01,4314.3999,4315,4713.8999,-194.0731,0.0,201.1997,1.7629,1,5.3637,0.1243
2026-02,4622.5,4620,5230.5,-283.27,0.0,-432.2988,2.9116,3,-718.4805,-15.5431
2026-03,5294.3999,5295,4647.6001,-273.545,0.0,-63.2993,3.0885,3,-339.9329,-6.4206
2026-04,4783.2002,4785,4614.7002,181.1079,0.0,128.8003,1.901,1,308.0071,6.4394
2026-05,4629.8999,4630,4560.5,173.9796,0.0,-262.8994,2.3098,2,-91.2297,-1.9704
2026-06,4475.2002,4475,4224.1001,-72.8754,0.0,263.8999,1.3306,0,189.6938,4.2388
