period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,147.3000030517578,147.0,2.797012840897449,145.2100067138672,8.540003051757813,6.750009765625,-14.930023193359375,4,-8.180013427734375,-8.180013427734375
2020-10-05_2020-10-30,2020-10-05,2020-10-30,146.6300048828125,147.0,3.8532359079681617,130.4600067138672,11.6699951171875,-4.869998168945312,11.809982299804688,2,6.939984130859376,-1.240029296874999
2020-11-02_2020-11-27,2020-11-02,2020-11-27,131.6300048828125,132.0,3.0768060850606456,147.44000244140625,8.4699951171875,-6.97000732421875,-18.1099853515625,1,-25.07999267578125,-26.32002197265625
2020-12-28_2021-01-22,2020-12-28,2021-01-22,166.5,167.5,3.279279279279279,206.13999938964844,11.92,-26.719999389648436,39.63999938964844,0,12.920000000000002,-13.400021972656248
2021-01-25_2021-02-19,2021-01-25,2021-02-19,212.35000610351562,210.0,3.272898422527965,200.9199981689453,16.250006103515627,7.17000427246094,-11.430007934570312,0,-4.260003662109373,-17.66002563476562
2021-02-22_2021-03-19,2021-02-22,2021-03-19,200.67999267578125,200.0,3.911700362019878,184.2899932861328,16.37999267578125,0.6699859619140618,-6.6499786376953125,1,-5.979992675781251,-23.64001831054687
2021-03-22_2021-04-16,2021-03-22,2021-04-16,185.83999633789062,185.0,2.1954369782604948,189.25,8.999996337890625,4.749996337890625,3.25,1,7.999996337890625,-15.640021972656246
2021-04-19_2021-05-14,2021-04-19,2021-05-14,189.63999938964844,190.0,3.290445064376336,196.2100067138672,12.840000610351563,6.629993896484375,-14.629974365234375,2,-7.99998046875,-23.640002441406246
2021-05-17_2021-06-11,2021-05-17,2021-06-11,195.52999877929688,195.0,2.8895821793449703,224.08999633789062,11.829998779296876,-17.25999755859375,28.55999755859375,0,11.3,-12.340002441406245
2021-06-14_2021-07-09,2021-06-14,2021-07-09,226.10000610351562,225.0,2.2467933935721427,234.99000549316406,11.260006103515625,1.2700006103515626,8.889999389648438,0,10.16,-2.180002441406245
2021-07-12_2021-08-06,2021-07-12,2021-08-06,236.00999450683594,235.0,3.3685014130915256,263.44000244140625,16.90999450683594,-11.53000793457031,27.430007934570312,0,15.900000000000002,13.719997558593757
2021-08-09_2021-09-03,2021-08-09,2021-09-03,267.1600036621094,270.0,3.821679839813559,259.5299987792969,23.259996337890627,12.789995117187502,-7.6300048828125,0,5.159990234375002,18.87998779296876
2021-09-03_2021-10-01,2021-09-03,2021-10-01,259.5299987792969,260.0,2.7164489782143786,229.58999633789062,14.570001220703125,-15.84000244140625,-9.1199951171875,1,-24.95999755859375,-6.08000976562499
2021-09-07_2021-10-01,2021-09-07,2021-10-01,254.8000030517578,250.0,1.3464807604864772,229.58999633789062,11.661669089379565,-8.74833457272981,-4.3899993896484375,1,-13.138333962378248,-19.218343728003237
2021-10-04_2021-10-29,2021-10-04,2021-10-29,224.85000610351562,225.0,3.2243717158994745,254.75999450683594,14.649993896484375,-15.110000610351562,6.7299957275390625,1,-8.3800048828125,-27.598348610815737
2021-11-01_2021-11-26,2021-11-01,2021-11-26,249.30999755859375,250.0,1.985479944034989,260.3699951171875,10.59000244140625,0.22000732421875036,11.05999755859375,0,11.2800048828125,-16.318343728003235
2021-12-27_2022-01-21,2021-12-27,2022-01-21,278.4100036621094,277.5,2.855500842436851,243.05999755859375,16.810003662109374,-17.629998779296876,-0.170013427734375,1,-17.80001220703125,-34.11835593503449
2022-01-24_2022-02-18,2022-01-24,2022-02-18,240.4199981689453,240.0,4.067881238867453,240.30999755859375,19.97999816894531,19.67000061035156,-32.27000427246094,3,-12.600003662109376,-46.71835959714386
2022-02-18_2022-03-18,2022-02-18,2022-03-18,240.30999755859375,240.0,3.274936573573512,287.6400146484375,16.049997558593752,-31.590017089843748,41.790008544921875,1,10.199991455078127,-36.51836814206573
2022-02-22_2022-03-18,2022-02-22,2022-03-18,239.1300048828125,230.0,1.7321281697969333,287.6400146484375,17.414081236836452,-40.22593341160105,40.610015869140625,1,0.38408245753957715,-36.134285684526155
2022-04-18_2022-05-13,2022-04-18,2022-05-13,298.82000732421875,300.0,3.3197241673435984,291.6300048828125,21.01999267578125,12.64999755859375,-19.04998779296875,1,-6.399990234375,-42.53427591890116
2022-05-16_2022-06-10,2022-05-16,2022-06-10,299.3800048828125,300.0,3.2266683954999773,297.010009765625,19.939995117187497,16.950004882812497,-35.030029296875,3,-18.080024414062503,-60.614300332963666
2022-06-13_2022-07-08,2022-06-13,2022-07-08,291.2799987792969,290.0,2.0942048975432654,330.4700012207031,13.479998779296874,-26.99000244140625,8.3699951171875,1,-18.62000732421875,-79.23430765718241
2022-07-11_2022-08-05,2022-07-11,2022-08-05,331.07000732421875,330.0,3.6246110292462497,301.32000732421875,25.07000732421875,-3.6099853515625,15.90997314453125,1,12.29998779296875,-66.93431986421366
2022-08-08_2022-09-02,2022-08-08,2022-09-02,302.5,300.0,3.2231404958677685,301.3299865722656,22.0,20.670013427734375,-41.709991455078125,1,-21.03997802734375,-87.97429789155741
2022-09-02_2022-09-30,2022-09-02,2022-09-30,301.3299865722656,300.0,3.351807138377114,323.3500061035156,21.529986572265624,-1.8200195312500007,-35.0999755859375,3,-36.9199951171875,-124.89429300874491
2022-09-06_2022-09-30,2022-09-06,2022-09-30,306.82000732421875,295.0,2.6967089003190314,323.3500061035156,28.36809221516217,0.0180861116465465,-0.829986572265625,1,-0.8119004606190785,-125.706193469364
2022-10-03_2022-10-28,2022-10-03,2022-10-28,321.54998779296875,320.0,3.4644691099078924,359.8999938964844,23.82998779296875,-16.070006103515624,38.350006103515625,0,22.28,-103.426193469364
2022-10-31_2022-11-25,2022-10-31,2022-11-25,362.0899963378906,360.0,3.314093214771388,365.25,26.089996337890625,20.839996337890625,-18.479949951171875,2,2.36004638671875,-101.06614708264524
2022-11-28_2022-12-23,2022-11-28,2022-12-23,365.7699890136719,365.0,4.338792267456039,367.8999938964844,32.50998901367187,29.609995117187495,-11.9100341796875,2,17.699960937499995,-83.36618614514525
2022-12-23_2023-01-20,2022-12-23,2023-01-20,367.8999938964844,367.5,2.76977444116706,346.07000732421875,20.779993896484374,-0.649998779296876,12.230010986328125,1,11.580012207031249,-71.786173938114
2022-12-27_2023-01-20,2022-12-27,2023-01-20,364.8800048828125,357.5,1.4637573038113234,346.07000732421875,18.061920326051062,6.631927650269812,-11.2900390625,1,-4.658111412230188,-76.44428535034419
2023-01-23_2023-02-17,2023-01-23,2023-02-17,342.2099914550781,342.5,2.6445750346211017,328.3999938964844,18.390008544921876,4.290002441406251,-6.40997314453125,2,-2.1199707031249986,-78.5642560534692
2023-02-17_2023-03-17,2023-02-17,2023-03-17,328.3999938964844,330.0,2.813641952415066,329.17999267578125,20.080006103515625,19.259998779296875,-0.779998779296875,0,18.48,-60.08425605346919
2023-03-20_2023-04-14,2023-03-20,2023-04-14,333.6000061035156,335.0,3.390287707755774,374.7300109863281,24.019993896484376,-15.710017089843749,41.1300048828125,0,25.41998779296875,-34.664268260500435
2023-04-17_2023-05-12,2023-04-17,2023-05-12,372.3500061035156,370.0,3.3167718000699113,434.42999267578125,27.050006103515624,-37.37998657226562,62.079986572265625,0,24.700000000000003,-9.964268260500432
2023-05-15_2023-06-09,2023-05-15,2023-06-09,434.510009765625,435.0,2.1748635906218445,446.0400085449219,19.389990234375,8.349981689453124,11.529998779296875,0,19.87998046875,9.915712208249566
2023-06-12_2023-07-07,2023-06-12,2023-07-07,445.30999755859375,445.0,2.1221171884326653,452.0799865722656,19.20999755859375,12.130010986328124,6.769989013671875,0,18.9,28.815712208249565
2023-07-10_2023-08-04,2023-07-10,2023-08-04,453.1600036621094,455.0,2.780474864987194,449.489990234375,27.039996337890624,21.529986572265624,-3.670013427734375,0,17.85997314453125,46.67568535278082
2023-08-07_2023-09-01,2023-08-07,2023-09-01,454.0799865722656,455.0,3.5610466169326735,557.1099853515625,33.26001342773438,-68.84997192382812,103.02999877929688,0,34.18002685546875,80.85571220824957
2023-09-01_2023-09-29,2023-09-01,2023-09-29,557.1099853515625,555.0,1.6783041492425794,537.1300048828125,20.8099853515625,2.9399902343749993,-19.97998046875,0,-17.039990234375,63.815721973874574
2023-09-05_2023-09-29,2023-09-05,2023-09-29,558.1900024414062,545.0,1.0941185704194702,537.1300048828125,25.404523391278886,17.534528274091386,-21.05999755859375,0,-3.525469284502364,60.29025268937221
