period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2022-06-13_2022-07-08,2022-06-13,2022-07-08,164.25999450683594,165.0,5.972239332804643,170.8800048828125,20.360005493164063,14.480000610351563,-4.4000091552734375,1,10.079991455078126,10.079991455078126
2022-07-11_2022-08-05,2022-07-11,2022-08-05,162.8800048828125,165.0,7.919940823479949,167.11000061035156,27.9199951171875,25.809994506835938,-41.49000549316406,5,-15.680010986328124,-5.600019531249998
2022-08-08_2022-09-02,2022-08-08,2022-09-02,170.25,170.0,4.311306901615271,160.32000732421875,14.93,5.25000732421875,5.350006103515625,1,10.600013427734375,4.999993896484376
2022-09-02_2022-09-30,2022-09-02,2022-09-30,160.32000732421875,160.0,4.990019732110803,135.67999267578125,16.32000732421875,-8.0,-7.39996337890625,2,-15.39996337890625,-10.399969482421874
2022-10-03_2022-10-28,2022-10-03,2022-10-28,138.61000061035156,140.0,6.889834757916303,99.19999694824219,20.48999938964844,-20.310003662109374,39.410003662109375,0,19.1,8.700030517578128
2022-10-31_2022-11-25,2022-10-31,2022-11-25,93.16000366210938,93.0,5.313439035440158,111.41000366210938,10.060003662109375,-8.35,-29.589996337890625,1,-37.939996337890626,-29.2399658203125
2022-11-28_2022-12-23,2022-11-28,2022-12-23,108.77999877929688,109.0,4.61481895231958,118.04000091552734,10.260001220703124,1.2200003051757804,-9.379997253417969,1,-8.159996948242188,-37.39996276855469
2022-12-23_2023-01-20,2022-12-23,2023-01-20,118.04000091552734,118.0,4.786513009300377,139.3699951171875,11.340000915527344,-10.029994201660156,12.049995422363281,2,2.0200012207031257,-35.379961547851565
2023-01-23_2023-02-17,2023-01-23,2023-02-17,143.27000427246094,143.0,5.967753015306823,172.8800048828125,17.37000427246094,-12.510000610351561,29.610000610351562,0,17.1,-18.279961547851563
2023-02-17_2023-03-17,2023-02-17,2023-03-17,172.8800048828125,175.0,4.633271502641161,195.61000061035156,18.1399951171875,-2.470005493164063,22.729995727539062,0,20.259990234375,1.9800286865234362
2023-03-20_2023-04-14,2023-03-20,2023-04-14,197.80999755859375,197.5,4.246499218277285,221.49000549316406,17.10999755859375,-6.880007934570312,23.680007934570312,0,16.8,18.780028686523437
2023-04-17_2023-05-12,2023-04-17,2023-05-12,218.86000061035156,220.0,5.528648435646444,233.80999755859375,25.339999389648437,11.530001831054687,14.949996948242188,0,26.479998779296874,45.260027465820315
2023-05-15_2023-06-09,2023-05-15,2023-06-09,238.86000061035156,240.0,3.0938625057006455,264.95001220703125,15.919999389648439,-9.030012817382811,26.090011596679688,0,17.059998779296876,62.32002624511719
2023-06-12_2023-07-07,2023-06-12,2023-07-07,271.04998779296875,270.0,2.637889807049634,290.5299987792969,15.34998779296875,-5.180010986328124,19.480010986328125,0,14.3,76.62002624511719
2023-07-10_2023-08-04,2023-07-10,2023-08-04,294.1000061035156,295.0,5.906154246690566,310.7300109863281,35.63999389648438,19.909982910156252,16.6300048828125,0,36.53998779296875,113.16001403808593
2023-08-07_2023-09-01,2023-08-07,2023-09-01,316.55999755859375,315.0,3.032600478278398,296.3800048828125,20.75999755859375,2.1400024414062493,-46.44000244140625,1,-44.3,68.86001403808594
2023-09-01_2023-09-29,2023-09-01,2023-09-29,296.3800048828125,295.0,3.171603969612162,300.2099914550781,20.1800048828125,14.970013427734376,3.829986572265625,0,18.8,87.66001403808593
2023-10-02_2023-10-27,2023-10-02,2023-10-27,306.82000732421875,305.0,4.650935290840012,296.7300109863281,30.36000732421875,22.090018310546874,-4.490020751953125,1,17.59999755859375,105.26001159667967
2023-10-30_2023-11-24,2023-10-30,2023-11-24,302.6600036621094,305.0,3.816163305441065,338.2300109863281,25.439996337890626,-7.790014648437499,17.19000244140625,1,9.399987792968751,114.65999938964842
2023-11-27_2023-12-22,2023-11-27,2023-12-22,334.70001220703125,335.0,2.360322590939553,353.3900146484375,16.09998779296875,-2.2900268554687493,-16.25,2,-18.54002685546875,96.11997253417967
2023-12-22_2024-01-19,2023-12-22,2024-01-19,353.3900146484375,352.5,2.6033559576244456,383.45001220703125,19.2900146484375,-11.659997558593751,30.05999755859375,0,18.4,114.51997253417966
2024-01-22_2024-02-16,2024-01-22,2024-02-16,381.7799987792969,382.5,4.374246962490588,473.32000732421875,34.120001220703124,-56.700006103515626,91.54000854492188,0,34.84000244140625,149.3599749755859
2024-02-16_2024-03-15,2024-02-16,2024-03-15,473.32000732421875,475.0,3.200794339044794,484.1000061035156,31.979992675781247,22.879986572265622,10.779998779296875,0,33.6599853515625,183.0199603271484
