period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,80.56298065185547,84.5,2.866279631984207,77.09923553466797,8.555339958831553,1.1545754934995216,1.364501953125,1,2.5190774466245216,2.5190774466245216
2020-10-05_2020-10-30,2020-10-05,2020-10-30,77.51908111572266,81.0,2.880354611205586,71.76526641845703,7.946567739239175,-1.288165842303794,5.753814697265625,0,4.465648854961831,6.9847263015863525
2020-11-02_2020-11-27,2020-11-02,2020-11-27,73.19656372070312,76.5,3.584930313859153,76.2022933959961,8.55152788235031,8.253821278346404,-4.456108093261719,2,3.7977131850846853,10.782439486671038
2020-12-28_2021-01-22,2020-12-28,2021-01-22,76.76526641845703,80.5,2.6724673973957493,77.27098846435547,7.837787016657472,4.608775481012941,-7.795806884765625,2,-3.187031403752684,7.595408082918354
2021-01-25_2021-02-19,2021-01-25,2021-02-19,77.4332046508789,81.0,2.5138632635348235,70.90648651123047,7.459925120113461,-2.6335883686560706,6.5267181396484375,0,3.893129770992367,11.48853785391072
2021-02-22_2021-03-19,2021-02-22,2021-03-19,71.49809265136719,75.0,2.8693446796696085,73.95992279052734,7.604960783747316,6.56488357427466,-2.4618301391601562,0,4.103053435114504,15.591591289025224
2021-03-22_2021-04-16,2021-03-22,2021-04-16,73.95992279052734,77.5,1.8707263799858234,73.9217529296875,6.307252781991741,2.7290057116792408,-3.2442703247070312,1,-0.5152646130277905,15.076326675997434
2021-04-19_2021-05-14,2021-04-19,2021-05-14,74.1030502319336,77.5,2.8071080275981877,74.7042007446289,7.557255111577856,4.761455856206762,-1.688934326171875,1,3.072521530034887,18.14884820603232
2021-05-17_2021-06-11,2021-05-17,2021-06-11,76.21183013916016,79.5,2.040816377995881,76.2699966430664,6.398856883740606,3.1688535268070126,-4.5810699462890625,1,-1.41221641948205,16.73663178655027
2021-06-14_2021-07-09,2021-06-14,2021-07-09,75.44999694824219,75.0,1.6964878088438693,77.98999786376953,3.009996948242188,0.019999084472656747,2.5400009155273438,0,2.5600000000000005,19.29663178655027
2021-07-12_2021-08-06,2021-07-12,2021-08-06,77.55000305175781,77.5,1.9342359006728624,75.44000244140625,3.0500030517578125,0.9900054931640625,-1.04998779296875,4,-0.0599822998046875,19.236649486745584
2021-08-09_2021-09-03,2021-08-09,2021-09-03,75.31999969482422,75.0,1.6197557155378413,77.26000213623047,2.7599996948242187,0.49999755859374995,-0.8600006103515625,1,-0.36000305175781255,18.876646434987773
2021-09-03_2021-10-01,2021-09-03,2021-10-01,77.26000213623047,77.0,1.8897229609515434,81.4000015258789,3.1800021362304687,-1.2199993896484376,-6.6999969482421875,2,-7.919996337890625,10.956650097097148
