period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,227.27000427246094,227.5,4.730056671760539,206.19000244140625,21.729995727539062,0.4199981689453125,1.1399993896484375,1,1.55999755859375,1.55999755859375
2020-10-05_2020-10-30,2020-10-05,2020-10-30,210.3800048828125,210.0,3.522197845811238,202.47000122070312,15.200004882812499,7.6700061035156235,-16.83001708984375,3,-9.160010986328126,-7.6000134277343765
2020-11-02_2020-11-27,2020-11-02,2020-11-27,202.3300018310547,202.5,4.349330262621156,215.22999572753906,17.769998168945314,5.040002441406251,-15.220001220703125,1,-10.179998779296874,-17.78001220703125
2020-12-28_2021-01-22,2020-12-28,2021-01-22,224.9600067138672,225.0,2.53378370816373,225.9499969482422,11.439993286132813,10.489996337890625,-15.529998779296875,2,-5.04000244140625,-22.8200146484375
2021-01-25_2021-02-19,2021-01-25,2021-02-19,229.52999877929688,230.0,3.6596523524913915,240.97000122070312,17.270001220703126,6.300000000000001,11.44000244140625,0,17.74000244140625,-5.080012207031249
2021-02-22_2021-03-19,2021-02-22,2021-03-19,234.50999450683594,235.0,2.6480747709961583,230.35000610351562,12.910005493164062,8.260011596679687,-38.46000671386719,5,-30.1999951171875,-35.280007324218744
2021-03-22_2021-04-16,2021-03-22,2021-04-16,235.99000549316406,235.0,2.0763591194297164,260.739990234375,10.790005493164063,-14.949984741210937,4.7299652099609375,2,-10.22001953125,-45.50002685546875
2021-04-19_2021-05-14,2021-04-19,2021-05-14,258.739990234375,257.5,2.4542012211749586,248.14999389648438,13.939990234375,4.589984130859374,-11.30999755859375,1,-6.720013427734376,-52.22004028320312
2021-05-17_2021-06-11,2021-05-17,2021-06-11,245.17999267578125,245.0,2.5083612789452108,257.8900146484375,12.47999267578125,-0.4100219726562493,10.110015869140625,1,9.699993896484376,-42.52004638671875
2021-06-14_2021-07-09,2021-06-14,2021-07-09,259.8900146484375,260.0,1.793066196215252,277.94000244140625,9.4299853515625,-8.51001708984375,18.04998779296875,0,9.539970703125,-32.980075683593746
2021-07-12_2021-08-06,2021-07-12,2021-08-06,277.32000732421875,277.5,2.253714061349002,289.4599914550781,12.67999267578125,0.720001220703125,12.139984130859375,0,12.8599853515625,-20.120090332031246
2021-08-09_2021-09-03,2021-08-09,2021-09-03,288.3299865722656,290.0,2.119099741458428,301.1400146484375,13.890013427734376,2.7499987792968756,12.810028076171875,0,15.56002685546875,-4.560063476562496
2021-09-03_2021-10-01,2021-09-03,2021-10-01,301.1400146484375,300.0,1.5873015100900347,289.1000061035156,10.7000146484375,-0.1999792480468745,-1.899993896484375,1,-2.0999731445312495,-6.660036621093745
2021-10-04_2021-10-29,2021-10-04,2021-10-29,283.1099853515625,285.0,3.302603399307617,331.6199951171875,20.590014648437503,-26.029980468749997,28.510009765625,1,2.480029296875003,-4.180007324218742
2021-11-01_2021-11-26,2021-11-01,2021-11-26,329.3699951171875,330.0,2.2588578529604377,329.67999267578125,15.510004882812503,15.189997558593753,0.30999755859375,0,15.499995117187503,11.31998779296876
2021-12-27_2022-01-21,2021-12-27,2022-01-21,342.45001220703125,342.5,2.184260398121376,296.0299987792969,15.00998779296875,-31.460013427734374,19.540008544921875,1,-11.9200048828125,-0.6000170898437389
2022-01-24_2022-02-18,2022-01-24,2022-02-18,296.3699951171875,297.5,4.791308241033369,287.92999267578125,29.5300048828125,19.95999755859375,-28.39996337890625,2,-8.439965820312501,-9.03998291015624
2022-02-18_2022-03-18,2022-02-18,2022-03-18,287.92999267578125,290.0,3.8898344336817914,300.42999267578125,24.47000732421875,14.040014648437499,-18.28009033203125,3,-4.240075683593751,-13.280058593749992
2022-04-18_2022-05-13,2022-04-18,2022-05-13,280.5199890136719,280.0,3.5541139278720304,261.1199951171875,20.459989013671876,1.5799841308593763,-30.080047607421875,4,-28.5000634765625,-41.78012207031249
2022-05-16_2022-06-10,2022-05-16,2022-06-10,261.5,260.0,3.5946462715105163,252.99000549316406,20.3,13.290005493164063,-17.309982299804688,2,-4.019976806640624,-45.800098876953115
2022-06-13_2022-07-08,2022-06-13,2022-07-08,242.25999450683594,240.0,3.6448444647144744,267.6600036621094,19.919994506835938,-7.740009155273437,-25.480026245117188,1,-33.22003540039063,-79.02013427734374
2022-07-11_2022-08-05,2022-07-11,2022-08-05,264.510009765625,265.0,3.723866635038807,282.9100036621094,20.189990234375,2.2799865722656243,-11.739990234375,2,-9.460003662109376,-88.48013793945312
2022-08-08_2022-09-02,2022-08-08,2022-09-02,280.32000732421875,280.0,2.539954271535457,256.05999755859375,14.56000732421875,-9.3799951171875,19.1199951171875,1,9.74,-78.74013793945312
2022-09-02_2022-09-30,2022-09-02,2022-09-30,256.05999755859375,255.0,3.2609544948891456,232.89999389648438,17.75999755859375,-4.340008544921876,23.160003662109375,0,18.8199951171875,-59.92014282226562
2022-10-03_2022-10-28,2022-10-03,2022-10-28,240.74000549316406,240.0,3.6761650735491487,235.8699951171875,18.440005493164062,14.310000610351562,-16.729965209960938,2,-2.4199645996093757,-62.34010742187499
2022-10-31_2022-11-25,2022-10-31,2022-11-25,232.1300048828125,230.0,3.015551567120265,247.49000549316406,16.1300048828125,-1.3600006103515625,-6.3399810791015625,1,-7.699981689453125,-70.04008911132811
2022-11-28_2022-12-23,2022-11-28,2022-12-23,241.75999450683594,240.0,2.7713435441075642,238.72999572753906,15.159994506835936,13.889990234374999,-30.8699951171875,2,-16.9800048828125,-87.02009399414061
2022-12-23_2023-01-20,2022-12-23,2023-01-20,238.72999572753906,237.5,2.965693514308255,240.22000122070312,15.389995727539063,12.669994506835938,-6.8899993896484375,3,5.7799951171875,-81.24009887695311
2023-01-23_2023-02-17,2023-01-23,2023-02-17,242.5800018310547,242.5,3.4421633840267565,258.05999755859375,16.780001831054687,1.2200042724609368,15.479995727539062,0,16.7,-64.54009887695311
2023-02-17_2023-03-17,2023-02-17,2023-03-17,258.05999755859375,260.0,3.2550569942917016,279.42999267578125,18.74000244140625,-0.6899902343749993,5.129974365234375,2,4.439984130859376,-60.10011474609374
2023-03-20_2023-04-14,2023-03-20,2023-04-14,272.2300109863281,270.0,2.696249386100428,286.1400146484375,16.910010986328125,0.7699963378906247,13.910003662109375,0,14.68,-45.42011474609374
2023-04-17_2023-05-12,2023-04-17,2023-05-12,288.79998779296875,290.0,3.0817175817819353,308.9700012207031,19.00001220703125,0.03001098632812571,-7.029998779296875,2,-6.999987792968749,-52.42010253906248
2023-05-15_2023-06-09,2023-05-15,2023-06-09,309.4599914550781,310.0,2.1327474252703422,326.7900085449219,13.740008544921874,-3.0500000000000007,17.33001708984375,0,14.28001708984375,-38.14008544921873
2023-06-12_2023-07-07,2023-06-12,2023-07-07,331.8500061035156,330.0,1.7146300724264836,337.2200012207031,13.230006103515626,6.010004882812501,5.3699951171875,0,11.38,-26.760085449218728
2023-07-10_2023-08-04,2023-07-10,2023-08-04,331.8299865722656,330.0,3.0587952899758633,327.7799987792969,22.129986572265626,19.9099853515625,-15.35003662109375,2,4.559948730468751,-22.200136718749977
2023-08-07_2023-09-01,2023-08-07,2023-09-01,330.1099853515625,330.0,2.4113175466421324,328.6600036621094,16.0299853515625,14.689989013671877,1.449981689453125,0,16.139970703125,-6.060166015624976
2023-09-01_2023-09-29,2023-09-01,2023-09-29,328.6600036621094,330.0,2.2393963116871105,315.75,16.059996337890624,1.8099963378906239,13.709991455078125,1,15.519987792968749,9.459821777343773
2023-10-02_2023-10-27,2023-10-02,2023-10-27,321.79998779296875,320.0,2.7004351552650596,329.80999755859375,19.17998779296875,9.369990234374999,-2.9100341796875,1,6.459956054687499,15.919777832031272
2023-10-30_2023-11-24,2023-10-30,2023-11-24,337.30999755859375,335.0,2.2620141873128445,377.42999267578125,17.569997558593748,-24.859995117187502,40.1199951171875,0,15.259999999999998,31.17977783203127
2023-11-27_2023-12-22,2023-11-27,2023-12-22,378.6099853515625,380.0,1.8673569830534378,374.5799865722656,15.5300146484375,10.110001220703126,-21.329986572265625,1,-11.2199853515625,19.95979248046877
2023-12-22_2024-01-19,2023-12-22,2024-01-19,374.5799865722656,375.0,1.9835549859433217,398.6700134277344,15.280013427734374,-8.39,14.25,2,5.859999999999999,25.81979248046877
2024-01-22_2024-02-16,2024-01-22,2024-02-16,396.510009765625,397.5,2.8498650025706467,404.05999755859375,23.589990234375,17.02999267578125,7.54998779296875,0,24.57998046875,50.39977294921877
2024-02-16_2024-03-15,2024-02-16,2024-03-15,404.05999755859375,405.0,2.165519985365822,416.4200134277344,18.44000244140625,7.019989013671875,-12.899993896484375,2,-5.8800048828125,44.51976806640627
2024-03-18_2024-04-12,2024-03-18,2024-04-12,417.32000732421875,415.0,1.7612383473121467,421.8999938964844,17.020007324218753,10.120013427734378,4.579986572265625,0,14.700000000000003,59.219768066406274
2024-04-15_2024-05-10,2024-04-15,2024-05-10,413.6400146484375,415.0,3.154917207681541,414.739990234375,27.4599853515625,27.1999755859375,-1.0999755859375,0,26.1,85.31976806640628
2024-05-13_2024-06-07,2024-05-13,2024-06-07,413.7200012207031,415.0,2.0351928780712405,423.8500061035156,18.119998779296875,9.26999267578125,-8.54998779296875,2,0.7200048828124999,86.03977294921879
2024-06-10_2024-07-05,2024-06-10,2024-07-05,427.8699951171875,430.0,2.021642110620748,467.55999755859375,19.4300048828125,-18.12999267578125,39.69000244140625,0,21.560009765625,107.59978271484378
2024-07-08_2024-08-02,2024-07-08,2024-08-02,466.239990234375,465.0,2.434368616534684,408.489990234375,23.939990234375,-32.57001953125,12.30999755859375,1,-20.260021972656247,87.33976074218754
2024-08-05_2024-08-30,2024-08-05,2024-08-30,395.1499938964844,395.0,3.7859041455328994,417.1400146484375,30.069993896484377,7.929979248046877,-30.769989013671875,1,-22.840009765625,64.49975097656254
2024-08-30_2024-09-27,2024-08-30,2024-09-27,417.1400146484375,415.0,1.9178212875938887,428.0199890136719,18.1400146484375,5.120025634765625,-0.920013427734375,1,4.20001220703125,68.69976318359379
2024-09-30_2024-10-25,2024-09-30,2024-10-25,430.29998779296875,430.0,2.2472694107192375,428.1499938964844,19.63998779296875,17.789981689453125,-17.069976806640625,1,0.7200048828124999,69.41976806640629
2024-10-28_2024-11-22,2024-10-28,2024-11-22,426.5899963378906,425.0,2.9653766165628204,417.0,26.889996337890626,18.889996337890626,-66.12997436523438,5,-47.23997802734375,22.17979003906254
2024-11-25_2024-12-20,2024-11-25,2024-12-20,418.7900085449219,420.0,1.8028128288524206,436.6000061035156,16.309991455078126,-0.2900146484374986,-0.5899658203125,1,-0.8799804687499986,21.29980957031254
2024-12-23_2025-01-17,2024-12-23,2025-01-17,435.25,435.0,1.7668006892590467,429.0299987792969,15.63,9.659998779296876,-3.220001220703125,1,6.439997558593751,27.739807128906293
2025-01-17_2025-02-14,2025-01-17,2025-02-14,429.0299987792969,430.0,2.67580356447419,408.42999267578125,23.930001220703126,2.359993896484376,-7.480010986328125,1,-5.120017089843749,22.619790039062543
2025-02-14_2025-03-14,2025-02-14,2025-03-14,408.42999267578125,410.0,2.289254013581268,388.55999755859375,20.27000732421875,-1.1699951171875007,4.02996826171875,2,2.8599731445312493,25.479763183593793
2025-03-17_2025-04-11,2025-03-17,2025-04-11,388.70001220703125,390.0,2.4697709540813704,388.45001220703125,20.49998779296875,18.95,-28.75,3,-9.8,15.679763183593792
2025-04-14_2025-05-09,2025-04-14,2025-05-09,387.80999755859375,390.0,3.7131585288293976,438.7300109863281,30.990002441406254,-17.74000854492187,10.439971923828125,2,-7.300036621093746,8.379726562500046
2025-05-12_2025-06-06,2025-05-12,2025-06-06,449.260009765625,450.0,2.1257178009193725,470.3800048828125,19.839990234375,-0.5400146484374986,21.1199951171875,0,20.57998046875,28.959707031250048
2025-07-07_2025-08-01,2025-07-07,2025-08-01,497.7200012207031,500.0,2.963513614848569,524.1099853515625,31.779998779296875,7.670013427734375,26.389984130859375,0,34.05999755859375,63.0197045898438
2025-08-04_2025-08-29,2025-08-04,2025-08-29,535.6400146484375,535.0,1.7922484761152269,506.69000244140625,19.8400146484375,-8.46998291015625,-28.95001220703125,0,-37.4199951171875,25.5997094726563
2025-08-29_2025-09-26,2025-08-29,2025-09-26,506.69000244140625,505.0,1.5650594962976452,511.4599914550781,17.55000244140625,11.090010986328124,-25.029998779296875,2,-13.93998779296875,11.65972167968755
2025-09-29_2025-10-24,2025-09-29,2025-10-24,514.5999755859375,515.0,2.013214242422733,523.6099853515625,21.1200244140625,12.510039062499999,-2.64996337890625,2,9.860075683593749,21.5197973632813
2025-10-27_2025-11-21,2025-10-27,2025-11-21,531.52001953125,532.5,3.1231184884888474,472.1199951171875,34.17998046875,-26.200024414062497,31.97998046875,1,5.779956054687503,27.2997534179688
2025-11-24_2025-12-19,2025-11-24,2025-12-19,474.0,475.0,2.289029535864979,485.9200134277344,22.7,11.779986572265624,-40.439971923828125,3,-28.6599853515625,-1.360231933593699
2025-12-22_2026-01-16,2025-12-22,2026-01-16,484.9200134277344,485.0,1.9075310863362602,459.8599853515625,18.579986572265625,-6.560028076171875,22.459991455078125,1,15.89996337890625,14.539731445312551
2026-01-16_2026-02-13,2026-01-16,2026-02-13,459.8599853515625,460.0,3.3140522083801303,401.32000732421875,30.620014648437504,-28.059978027343746,-35.6199951171875,2,-63.679973144531246,-49.14024169921869
2026-02-13_2026-03-13,2026-02-13,2026-03-13,401.32000732421875,400.0,3.1271802479214785,395.54998779296875,26.42000732421875,21.9699951171875,5.77001953125,0,27.7400146484375,-21.40022705078119
