period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,55.654998779296875,555.0,6.348037152979405,50.305999755859375,506.41100122070316,1.717000976562531,-5.922996520996094,1,-4.205995544433563,-4.205995544433563
2020-10-05_2020-10-30,2020-10-05,2020-10-30,52.064998626708984,520.0,6.194180514864351,47.57400131225586,474.38500137329106,1.9590026855469205,-1.8290023803710938,1,0.13000030517582672,-4.075995239257736
2020-11-02_2020-11-27,2020-11-02,2020-11-27,48.4119987487793,485.0,4.9243990366336865,49.13600158691406,441.35600125122073,5.492002838134795,-0.7240028381347656,0,4.768000000000029,0.692004760742293
2020-12-28_2021-01-22,2020-12-28,2021-01-22,51.9119987487793,520.0,4.719525464346741,56.516998291015625,472.9880012512207,9.504999542236305,-8.330997467041016,1,1.1740020751952898,1.8660068359375828
2021-01-25_2021-02-19,2021-01-25,2021-02-19,55.678001403808594,555.0,3.690865239748764,54.02199935913086,503.4319985961914,2.4539979553222793,-0.056003570556640625,1,2.3979943847656386,4.264001220703221
2021-02-22_2021-03-19,2021-02-22,2021-03-19,53.37799835205078,535.0,3.6250890998906438,51.21799850463867,485.4920016479492,1.7100001525878952,2.1599998474121094,0,3.8700000000000045,8.134001220703226
2021-03-22_2021-04-16,2021-03-22,2021-04-16,52.31100082397461,522.5,3.0184855482182438,54.65399932861328,473.3469991760254,5.500998504638687,-6.393001556396484,1,-0.892003051757797,7.241998168945429
2021-04-19_2021-05-14,2021-04-19,2021-05-14,55.444000244140625,555.0,4.91847627875334,49.33700180053711,505.0099997558593,-0.6529984436035647,-3.0010032653808594,1,-3.654001708984424,3.587996459961005
2021-05-17_2021-06-11,2021-05-17,2021-06-11,48.89400100708008,490.0,3.2008016684365446,48.87699890136719,444.2359989929199,3.112997894287105,0.017002105712890625,0,3.1299999999999955,6.717996459961
2021-06-14_2021-07-09,2021-06-14,2021-07-09,49.98899841308594,500.0,2.1704775739534976,53.597999572753906,452.181001586914,5.779001159667928,3.6090011596679688,0,9.388002319335897,16.105998779296897
2021-07-12_2021-08-06,2021-07-12,2021-08-06,53.73099899291992,537.5,4.178221216947448,52.05500030517578,488.2590010070801,2.8140013122558685,-3.0600013732910156,1,-0.24600006103514716,15.85999871826175
2021-08-09_2021-09-03,2021-08-09,2021-09-03,51.99700164794922,520.0,2.221281926638848,59.053001403808594,470.3129983520507,9.36599975585932,-7.8820037841796875,1,1.483995971679633,17.343994689941383
2021-09-03_2021-10-01,2021-09-03,2021-10-01,59.053001403808594,590.0,2.531624074070485,61.314998626708984,533.9369985961914,5.2519972229004,2.2619972229003906,0,7.51399444580079,24.857989135742173
2021-10-04_2021-10-29,2021-10-04,2021-10-29,60.334999084472656,605.0,4.234689713714664,69.03099822998047,549.7750009155272,13.805999145507712,8.695999145507812,0,22.501998291015525,47.3599874267577
2021-11-01_2021-11-26,2021-11-01,2021-11-26,68.11699676513672,680.0,2.6278316499651497,66.56400299072266,615.4630032348632,2.0270062255858647,-3.8690032958984375,1,-1.8419970703125728,45.517990356445125
2021-12-27_2022-01-21,2021-12-27,2022-01-21,61.3120002746582,615.0,4.056302173895866,39.75,558.6619997253417,-16.58800027465827,21.562000274658203,0,4.973999999999933,50.49199035644506
2022-01-24_2022-02-18,2022-01-24,2022-02-18,38.71500015258789,385.0,5.682551960039039,39.12900161743164,350.6849998474121,4.814001464843727,-0.41400146484375,0,4.399999999999977,54.891990356445035
2022-02-18_2022-03-18,2022-02-18,2022-03-18,39.12900161743164,390.0,4.715172694766809,38.060001373291016,354.5609983825684,2.6209997558594296,1.069000244140625,0,3.6900000000000546,58.58199035644509
2022-04-18_2022-05-13,2022-04-18,2022-05-13,33.7859992980957,340.0,6.875629101581532,18.763999938964844,310.86000070190426,-10.375999359130901,15.02199935913086,0,4.645999999999958,63.22799035644505
2022-05-16_2022-06-10,2022-05-16,2022-06-10,18.650999069213867,185.0,6.005040243923016,18.29400062561035,168.58900093078614,1.8830015563964935,0.3569984436035156,0,2.240000000000009,65.46799035644506
2022-06-13_2022-07-08,2022-06-13,2022-07-08,16.9689998626709,170.0,6.953857089691022,18.697999954223633,155.39100013732912,4.089000091552748,-1.7290000915527344,0,2.3600000000000136,67.82799035644507
2022-07-11_2022-08-05,2022-07-11,2022-08-05,17.733999252319336,175.0,7.753468241632924,22.67799949645996,160.01600074768066,7.694000244140625,-4.944000244140625,0,2.75,70.57799035644507
2022-08-08_2022-09-02,2022-08-08,2022-09-02,23.349000930786133,235.0,5.032335231314923,22.611000061035156,214.0009990692139,1.6119991302490462,-0.6520023345947266,1,0.9599967956543196,71.53798715209939
2022-09-02_2022-09-30,2022-09-02,2022-09-30,22.611000061035156,225.0,5.240811980015312,23.54400062561035,204.75899993896485,3.3030005645752,-2.476999282836914,1,0.8260012817382858,72.36398843383768
2022-10-03_2022-10-28,2022-10-03,2022-10-28,23.90399932861328,240.0,8.262215760840943,29.57200050354004,220.0460006713867,9.618001174926746,-8.525999069213867,1,1.0920021057128793,73.45599053955056
2022-10-31_2022-11-25,2022-10-31,2022-11-25,29.187999725341797,290.0,4.625188477125735,28.554000854492188,263.51200027465825,2.066001129150436,-5.5839996337890625,1,-3.5179985046386264,69.93799203491193
2022-11-28_2022-12-23,2022-11-28,2022-12-23,28.117000579833984,280.0,4.49905741691125,29.496000289916992,254.412999420166,3.9089997100829805,0.46899986267089844,1,4.377999572753879,74.31599160766581
2022-12-23_2023-01-20,2022-12-23,2023-01-20,29.496000289916992,295.0,6.865337605425209,34.25,269.55399971008296,8.803999710082962,-4.753999710083008,0,4.0499999999999545,78.36599160766576
2023-01-23_2023-02-17,2023-01-23,2023-02-17,35.742000579833984,357.5,4.110010565074036,34.79600143432617,324.695999420166,1.9920008544921757,-0.9459991455078125,1,1.0460017089843632,79.41199331665013
2023-02-17_2023-03-17,2023-02-17,2023-03-17,34.79600143432617,350.0,4.224623345801591,30.350000381469727,318.1439985656739,-1.5060010528563907,4.446001052856445,0,2.9400000000000546,82.35199331665018
2023-03-20_2023-04-14,2023-03-20,2023-04-14,30.51300048828125,305.0,4.499721358203731,33.862998962402344,277.23299951171873,6.095998474121075,-3.3499984741210938,0,2.745999999999981,85.09799331665016
2023-04-17_2023-05-12,2023-04-17,2023-05-12,33.27199935913086,335.0,6.416807048338953,33.98899841308594,305.9980006408691,4.98699905395506,-0.7169990539550781,0,4.269999999999982,89.36799331665014
2023-05-15_2023-06-09,2023-05-15,2023-06-09,33.5890007019043,335.0,3.0515942081655574,42.00199890136719,303.46099929809566,10.462998199462845,8.41299819946289,0,18.875996398925736,108.24398971557588
2023-06-12_2023-07-07,2023-06-12,2023-07-07,42.39699935913086,425.0,3.993207126898677,43.810001373291016,385.9890006408691,4.7990020141601235,1.4130020141601562,0,6.21200402832028,114.45599374389616
2023-07-10_2023-08-04,2023-07-10,2023-08-04,44.17100143432617,440.0,5.207036121695497,43.15999984741211,400.42899856567385,3.5889984130859602,-4.696998596191406,1,-1.108000183105446,113.34799356079071
2023-08-07_2023-09-01,2023-08-07,2023-09-01,44.07600021362305,440.0,3.164987733094783,43.987998962402344,398.7139997863769,2.7019987487792605,-2.2840003967285156,1,0.41799835205074487,113.76599191284146
2023-09-01_2023-09-29,2023-09-01,2023-09-29,43.987998962402344,440.0,3.1303992736222366,37.7599983215332,398.7660010375977,-3.4740006408691215,0.7000007629394531,1,-2.7739998779296684,110.99199203491179
2023-09-29_2023-10-27,2023-09-29,2023-10-27,37.7599983215332,380.0,5.182733281224728,39.7869987487793,346.1540016784668,5.941000427246081,-2.0270004272460938,0,3.9139999999999873,114.90599203491178
2023-10-30_2023-11-24,2023-10-30,2023-11-24,41.007999420166016,410.0,3.2676551378925454,47.95600128173828,371.67200057983393,9.628001861572216,6.948001861572266,0,16.57600372314448,131.48199575805626
2023-11-27_2023-12-22,2023-11-27,2023-12-22,47.91699981689453,480.0,2.3373750532793403,48.67599868774414,434.3230001831055,2.9989988708496185,0.7589988708496094,0,3.757997741699228,135.23999349975549
2023-12-22_2024-01-19,2023-12-22,2024-01-19,48.67599868774414,487.5,2.8042567934896545,48.29499816894531,441.5540013122559,2.34899948120119,-3.2709999084472656,1,-0.9220004272460756,134.3179930725094
2024-01-22_2024-02-16,2024-01-22,2024-02-16,48.57099914550781,485.0,4.655041155786298,58.39500045776367,440.95100085449224,14.346001312255908,9.82400131225586,0,24.170002624511767,158.48799569702118
2024-02-16_2024-03-15,2024-02-16,2024-03-15,58.39500045776367,585.0,2.971144766502575,60.5880012512207,530.0749995422364,5.6630007934570585,2.1930007934570312,0,7.85600158691409,166.34399728393527
2024-03-18_2024-04-12,2024-03-18,2024-04-12,61.8390007019043,620.0,2.8137582759263724,62.28300094604492,561.6409992980957,3.924000244140643,0.444000244140625,0,4.368000488281268,170.71199777221653
2024-04-15_2024-05-10,2024-04-15,2024-05-10,60.71500015258789,605.0,5.1486452971156895,61.08700180053711,550.5369998474121,6.6240016479491715,-0.37200164794921875,0,6.251999999999953,176.9639977722165
2024-05-13_2024-06-07,2024-05-13,2024-06-07,61.659000396728516,615.0,2.546262491928592,64.14700317382812,556.4809996032716,5.628002777099709,2.4880027770996094,0,8.116005554199319,185.0800033264158
2024-06-10_2024-07-05,2024-06-10,2024-07-05,64.44999694824219,645.0,2.4670288212377733,69.06500244140625,583.7300030517579,7.795005493164126,4.6150054931640625,0,12.410010986328189,197.490014312744
2024-07-08_2024-08-02,2024-07-08,2024-08-02,68.5739974975586,685.0,4.5862865149606735,61.36399841308594,622.7160025024414,-0.9199990844726926,5.592002868652344,1,4.672003784179651,202.16201809692365
2024-08-05_2024-08-30,2024-08-05,2024-08-30,59.85499954223633,600.0,3.917801383233266,70.13500213623047,544.8350004577637,14.970002593994195,-10.28000259399414,0,4.690000000000055,206.8520180969237
2024-08-30_2024-09-27,2024-08-30,2024-09-27,70.13500213623047,700.0,2.4524131284106416,70.73500061035156,633.3049978637696,4.039998474121148,-7.715995788574219,1,-3.6759973144530704,203.17602078247063
2024-09-30_2024-10-25,2024-09-30,2024-10-25,70.927001953125,710.0,4.761233249689347,75.46800231933594,645.8269980468749,11.295000366210843,-6.0110015869140625,1,5.28399877929678,208.4600195617674
2024-10-28_2024-11-22,2024-10-28,2024-11-22,74.91200256347656,750.0,2.536309182750839,89.77899932861328,678.8879974365234,18.666996765136673,14.866996765136719,0,33.53399353027339,241.9940130920408
2024-11-25_2024-12-20,2024-11-25,2024-12-20,86.55899810791016,865.0,2.4260909274642963,90.90499877929688,782.6410018920899,8.546000671386764,4.346000671386719,0,12.892001342773483,254.88601443481429
2024-12-23_2025-01-17,2024-12-23,2025-01-17,91.1449966430664,912.5,2.5947666762900807,85.80999755859375,826.0850033569336,-0.6049990844726381,-9.416999816894531,1,-10.02199890136717,244.86401553344712
2025-01-17_2025-02-14,2025-01-17,2025-02-14,85.80999755859375,860.0,4.754690730778833,105.86000061035156,782.3500024414063,28.210003051757894,-20.050003051757812,0,8.160000000000082,253.0240155334472
2025-02-14_2025-03-14,2025-02-14,2025-03-14,105.86000061035156,1060.0,2.687511792553117,91.80000305175781,959.8299993896485,-8.369997558593695,-16.38800048828125,1,-24.757998046874945,228.26601748657225
2025-03-17_2025-04-11,2025-03-17,2025-04-11,95.00199890136719,950.0,3.54729378220641,91.8290023803711,861.7380010986328,3.5670034790039153,-0.8349990844726562,1,2.732004394531259,230.9980218811035
2025-04-14_2025-05-09,2025-04-14,2025-05-09,93.12799835205078,930.0,5.476333745218623,114.02200317382812,847.0720016479493,31.09400482177739,20.894004821777344,0,51.98800964355473,282.98603152465824
2025-05-12_2025-06-06,2025-05-12,2025-06-06,111.0,1110.0,3.0135135135135136,124.14700317382812,1005.69,19.83700317382818,13.147003173828125,0,32.984006347656305,315.97003787231455
2025-07-07_2025-08-01,2025-07-07,2025-08-01,128.96200561523438,1290.0,4.661838168008297,115.86000061035156,1173.0619943847655,-1.0780050048829253,-2.9739990234375,1,-4.052004028320425,311.9180338439941
2025-08-04_2025-08-29,2025-08-04,2025-08-29,117.0989990234375,1170.0,2.572182533684293,120.82499694824219,1058.9250009765624,9.749997924804575,-3.7259979248046875,0,6.023999999999887,317.942033843994
2025-08-29_2025-09-26,2025-08-29,2025-09-26,120.82499694824219,1210.0,2.679081383620174,121.06099700927734,1095.649003051758,6.710000061035316,-0.23600006103515625,0,6.47400000000016,324.41603384399417
2025-09-29_2025-10-24,2025-09-29,2025-10-24,120.64099884033203,1205.0,4.54654723744403,109.46900177001953,1095.3290011596678,-0.2019970703127001,11.1719970703125,0,10.9699999999998,335.38603384399397
2025-10-27_2025-11-21,2025-10-27,2025-11-21,109.45600128173828,1095.0,2.9180674998154617,104.30999755859375,991.9319987182616,1.2419962768553887,5.146003723144531,0,6.38799999999992,341.7740338439939
2025-11-24_2025-12-19,2025-11-24,2025-12-19,106.97000122070312,107.0,3.599139904707102,94.38999938964844,7.729998779296876,-4.880001831054686,12.580001831054688,0,7.700000000000001,349.4740338439939
2025-12-22_2026-01-16,2025-12-22,2026-01-16,93.2300033569336,93.0,2.7888017873879396,88.0,5.430003356933594,0.4300033569335939,5.230003356933594,0,5.660006713867188,355.13404055786106
2026-01-16_2026-02-13,2026-01-16,2026-02-13,88.0,88.0,4.931818181818182,76.87000274658203,8.68,-2.449997253417969,11.129997253417969,0,8.68,363.81404055786106
2026-02-13_2026-03-13,2026-02-13,2026-03-13,76.87000274658203,77.0,4.54013252933724,95.30999755859375,7.109997253417969,-11.20000030517578,-20.29999542236328,1,-31.499995727539062,332.314044830322
