period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,99.43800354003906,497.5,5.832780017214052,98.62999725341797,409.66199645996096,10.791993713378929,-17.928001403808594,1,-7.136007690429665,-7.136007690429665
2020-10-05_2020-10-30,2020-10-05,2020-10-30,100.35800170898438,500.0,6.357240968687843,99.51399993896484,412.4019982910156,11.91599822998046,0.7719955444335938,1,12.687993774414053,5.551986083984389
2020-11-02_2020-11-27,2020-11-02,2020-11-27,95.19999694824219,475.0,3.319327837497738,105.49600219726562,386.12000305175786,16.616005249023488,-10.296005249023438,0,6.32000000000005,11.871986083984439
2020-12-28_2021-01-22,2020-12-28,2021-01-22,108.74800109863281,545.0,3.727884613091033,108.21800231933594,444.35999890136713,7.578001220703072,0.529998779296875,0,8.107999999999947,19.979986083984386
2021-01-25_2021-02-19,2021-01-25,2021-02-19,107.57599639892578,540.0,5.094073197963631,114.14600372314453,443.38400360107426,17.530007324218786,-15.121994018554688,1,2.408013305664099,22.387999389648485
2021-02-22_2021-03-19,2021-02-22,2021-03-19,110.052001953125,550.0,3.6528186027113425,94.16799926757812,447.98799804687496,-7.844002685546911,15.884002685546875,0,8.039999999999964,30.42799938964845
2021-03-22_2021-04-16,2021-03-22,2021-04-16,95.33000183105469,475.0,3.1385712184318106,111.38200378417969,385.65399816894535,22.036001953125037,-16.052001953125,0,5.984000000000037,36.411999389648486
2021-04-19_2021-05-14,2021-04-19,2021-05-14,109.8740005493164,550.0,4.887416470823506,92.06600189208984,450.8659994506836,-7.067998657226553,0.05999755859375,1,-7.008001098632803,29.403998291015682
2021-05-17_2021-06-11,2021-05-17,2021-06-11,90.87999725341797,455.0,3.670774758825748,99.60199737548828,370.79200274658206,15.394000122070338,-8.722000122070312,0,6.6720000000000255,36.07599829101571
2021-06-14_2021-07-09,2021-06-14,2021-07-09,101.86799621582031,510.0,2.890014635963548,113.27400207519531,414.0200037841797,17.294005859375034,11.406005859375,0,28.700011718750034,64.77601000976574
2021-07-12_2021-08-06,2021-07-12,2021-08-06,112.38600158691406,562.5,4.8582562978517325,118.13600158691406,461.0339984130859,16.66999999999996,5.75,0,22.41999999999996,87.1960100097657
2021-08-09_2021-09-03,2021-08-09,2021-09-03,117.59200286865234,590.0,2.716171101845784,135.7259979248047,478.7959971313477,24.521995056152377,18.133995056152344,0,42.65599011230472,129.85200012207042
2021-09-03_2021-10-01,2021-09-03,2021-10-01,135.7259979248047,680.0,2.780602137912357,126.55999755859375,551.8220020751953,-1.6180003662109357,-9.166000366210938,0,-10.784000732421873,119.06799938964855
2021-10-04_2021-10-29,2021-10-04,2021-10-29,123.59400177001953,620.0,4.239687950027263,139.552001953125,506.8859982299805,26.438000183105487,-16.11400604248047,1,10.323994140625018,129.39199353027357
2021-11-01_2021-11-26,2021-11-01,2021-11-26,136.39599609375,680.0,2.797736084112852,129.91000366210938,551.2360039062501,1.1460075683594368,2.058013916015625,1,3.204021484375062,132.59601501464863
