month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,81.01,81.0,78.87,0.4755,0.0,-4.27,0.0478,1,-3.8423,-4.743
2023-02,76.41,76.5,77.05,5.2094,0.0,-4.1,0.0617,2,1.0477,1.3712
2023-03,77.69,77.5,75.67,4.2187,0.0,1.23,0.0463,1,5.4023,6.9537
2023-04,80.42,80.5,76.78,2.3284,0.0,0.52,0.0476,1,2.8008,3.4827
2023-05,75.66,75.5,68.09,-1.6519,0.0,7.67,0.0295,0,5.9886,7.9151
2023-06,70.1,70.0,70.64,5.2066,0.0,-5.91,0.0846,4,-0.788,-1.1241
2023-07,69.79,70.0,81.8,-6.8873,0.0,11.65,0.0292,0,4.7336,6.7826
2023-08,81.37,81.5,83.63,2.7491,0.0,0.64,0.0654,2,3.3237,4.0847
2023-09,85.55,85.5,90.79,-0.5642,0.0,4.73,0.0348,0,4.131,4.8287
2023-10,88.82,89.0,81.02,-2.047,0.0,-0.61,0.07,2,-2.727,-3.0702
2023-11,80.44,80.5,75.96,2.1175,0.0,4.86,0.0318,0,6.9457,8.6346
2023-12,74.07,74.0,71.65,2.9793,0.0,-3.73,0.0589,2,-0.8096,-1.0931
2024-01,70.38,70.5,75.85,0.333,0.0,-6.07,0.0723,3,-5.8094,-8.2543
2024-02,73.82,74.0,78.26,1.1145,0.0,-0.67,0.0453,1,0.3993,0.5409
2024-03,79.97,80.0,83.17,1.7143,0.0,-0.11,0.0639,2,1.5404,1.9263
2024-04,83.71,83.5,81.93,3.325,0.0,-0.39,0.0499,1,2.8851,3.4465
2024-05,79.0,79.0,76.99,2.6577,0.0,-7.98,0.0945,4,-5.4168,-6.8567
2024-06,74.22,74.0,81.54,-3.0183,0.0,-0.68,0.046,1,-3.7443,-5.0449
2024-07,83.38,83.5,77.91,-0.7855,0.0,-3.16,0.0819,3,-4.0274,-4.8302
2024-08,76.31,76.5,73.55,2.4021,0.0,-14.78,0.0766,3,-12.4545,-16.3209
2024-09,70.34,70.5,68.17,2.6877,0.0,1.35,0.0563,2,3.9814,5.6603
2024-10,69.83,70.0,69.26,5.593,0.0,-0.12,0.0705,3,5.4025,7.7366
2024-11,69.49,69.5,68.0,4.6106,0.0,-5.17,0.0842,4,-0.6436,-0.9262
2024-12,68.1,68.0,71.72,1.1645,0.0,-6.18,0.0973,5,-5.1128,-7.5078
2025-01,73.13,73.0,72.53,4.0326,0.0,0.34,0.0438,1,4.3288,5.9194
2025-02,73.16,73.0,69.76,1.7735,0.0,-6.09,0.0861,4,-4.4026,-6.0178
2025-03,68.37,68.5,71.48,2.388,0.0,1.62,0.0415,1,3.9665,5.8015
2025-04,71.2,71.0,58.21,-8.1843,0.0,3.87,0.0405,1,-4.3549,-6.1164
2025-05,59.24,59.0,60.79,4.6804,0.0,-3.0,0.0361,1,1.6444,2.7757
2025-06,62.52,62.5,65.11,2.2222,0.0,2.09,0.0253,0,4.2869,6.8568
2025-07,65.45,65.5,69.26,1.4102,0.0,-7.02,0.0674,3,-5.6772,-8.674
2025-08,67.33,67.5,64.01,1.9522,0.0,1.56,0.0398,1,3.4724,5.1572
2025-09,65.59,65.5,62.37,1.4319,0.0,-8.35,0.0896,5,-7.0077,-10.6841
2025-10,61.78,62.0,60.98,3.8284,0.0,-0.82,0.037,1,2.9714,4.8096
2025-11,61.05,61.0,58.55,1.5365,0.0,-9.02,0.0839,5,-7.5674,-12.3954
2025-12,59.32,59.5,57.42,2.4744,0.0,0.44,0.0473,2,2.8672,4.8334
2026-01,57.32,57.5,65.21,-4.2923,0.0,3.2,0.0585,3,-1.1508,-2.0076
2026-02,62.14,62.0,67.02,0.8073,0.0,4.74,0.0254,0,5.5219,8.8863
2026-03,71.23,71.0,101.38,-20.2162,0.0,30.15,0.0315,0,9.9023,13.9019
2026-04,100.12,100.0,105.07,13.6537,0.0,0.29,0.0797,2,13.864,13.8473
2026-05,101.94,102.0,87.36,0.7073,0.0,-0.91,0.0986,3,-0.3013,-0.2955
2026-06,92.16,92.0,76.6,-6.4934,0.0,10.35,0.0731,2,3.7835,4.1054
