period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,139.19000244140625,139.0,3.1252244584385194,138.05999755859375,8.89000244140625,7.949999999999999,-11.6300048828125,2,-3.6800048828125007,-3.6800048828125007
2020-10-05_2020-10-30,2020-10-05,2020-10-30,137.92999267578125,138.0,2.4505185090127863,133.2899932861328,6.83000732421875,2.1200006103515623,-8.360000610351562,3,-6.24,-9.920004882812501
2020-11-02_2020-11-27,2020-11-02,2020-11-27,135.14999389648438,135.0,3.9215688045531367,144.60000610351562,10.749993896484375,1.1499877929687496,3.649993896484375,1,4.799981689453125,-5.120023193359376
2020-12-28_2021-01-22,2020-12-28,2021-01-22,146.91000366210938,147.0,1.8514736452229328,138.58999633789062,5.529996337890625,-2.8800073242187496,3.040008544921875,1,0.1600012207031254,-4.960021972656251
2021-01-25_2021-02-19,2021-01-25,2021-02-19,140.17999267578125,140.0,2.311314145588318,132.50999450683594,6.659992675781251,-0.8300128173828112,-6.3700408935546875,4,-7.200053710937499,-12.16007568359375
2021-02-22_2021-03-19,2021-02-22,2021-03-19,131.99000549316406,132.0,2.5001893042355476,134.5,6.609994506835937,4.109994506835937,-0.6699981689453125,1,3.4399963378906246,-8.720079345703125
2021-03-22_2021-04-16,2021-03-22,2021-04-16,137.8000030517578,138.0,2.0682147582605914,144.16000366210938,5.899996948242188,-0.2600067138671873,6.3600006103515625,0,6.099993896484375,-2.6200854492187498
2021-04-19_2021-05-14,2021-04-19,2021-05-14,144.75,145.0,1.6096718480138168,146.58999633789062,4.91,3.320003662109375,-10.3599853515625,4,-7.039981689453125,-9.660067138671874
2021-05-17_2021-06-11,2021-05-17,2021-06-11,146.1699981689453,146.0,1.90189507752941,147.69000244140625,5.729998168945311,4.039995727539061,1.5200042724609375,0,5.559999999999999,-4.100067138671875
2021-06-14_2021-07-09,2021-06-14,2021-07-09,148.57000732421875,149.0,1.8240559106159755,149.47999572753906,5.84999267578125,5.369996948242187,-3.1500091552734375,2,2.21998779296875,-1.880079345703125
2021-07-12_2021-08-06,2021-07-12,2021-08-06,149.50999450683594,150.0,2.039997399545451,154.3300018310547,6.590005493164061,2.2600036621093738,4.82000732421875,0,7.080010986328124,5.199931640624999
2021-08-09_2021-09-03,2021-08-09,2021-09-03,154.35000610351562,155.0,2.2351796978137077,157.08999633789062,7.549993896484375,5.45999755859375,0.0,2,5.45999755859375,10.659929199218748
2021-09-03_2021-10-01,2021-09-03,2021-10-01,157.08999633789062,155.0,0.8657457710258813,150.9499969482422,4.809996337890626,0.7599932861328131,-4.1599884033203125,3,-3.3999951171874994,7.259934082031249
2021-10-04_2021-10-29,2021-10-04,2021-10-29,150.1999969482422,150.0,1.6111851192872622,161.60000610351562,5.039996948242187,-6.560009155273438,1.8799896240234375,1,-4.68001953125,2.5799145507812486
2021-11-01_2021-11-26,2021-11-01,2021-11-26,161.25999450683594,160.0,1.085204055321865,161.13999938964844,4.7599945068359375,3.6199951171875,-0.1199951171875,0,3.5,6.079914550781249
2021-12-27_2022-01-21,2021-12-27,2022-01-21,171.47000122070312,172.5,1.9361987381843828,174.22000122070312,7.669998779296876,5.949997558593751,2.75,0,8.69999755859375,14.779912109375
