period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,312.8299865722656,312.5,3.8039831572383576,311.9800109863281,24.129986572265626,23.60999755859375,-2.989990234375,2,20.62000732421875,20.62000732421875
2020-10-05_2020-10-30,2020-10-05,2020-10-30,318.1499938964844,317.5,3.1431715203029906,305.1400146484375,20.649993896484375,8.290008544921875,-7.290008544921875,1,1.0,21.62000732421875
2020-11-02_2020-11-27,2020-11-02,2020-11-27,312.1000061035156,312.5,6.174302987231801,337.94000244140625,38.939993896484374,13.499991455078124,7.339996337890625,1,20.83998779296875,42.4599951171875
2020-12-28_2021-01-22,2020-12-28,2021-01-22,345.95001220703125,345.0,4.35033949095323,347.54998779296875,31.05001220703126,28.50002441406251,1.5999755859375,0,30.10000000000001,72.55999511718751
2021-01-25_2021-02-19,2021-01-25,2021-02-19,347.80999755859375,347.5,3.0763923047374235,324.5799865722656,21.70999755859375,-1.2100158691406264,23.230010986328125,0,22.0199951171875,94.579990234375
2021-02-22_2021-03-19,2021-02-22,2021-03-19,327.6400146484375,330.0,3.174215460574726,365.5799865722656,23.1599853515625,-12.420001220703124,22.100006103515625,3,9.6800048828125,104.2599951171875
2021-03-22_2021-04-16,2021-03-22,2021-04-16,366.8599853515625,367.5,2.578640456231406,391.010009765625,19.5600146484375,-3.9499951171874983,24.1500244140625,0,20.200029296875,124.4600244140625
2021-04-19_2021-05-14,2021-04-19,2021-05-14,389.8399963378906,390.0,1.923866219591136,409.79998779296875,15.160003662109373,-4.639984130859377,19.959991455078125,0,15.320007324218748,139.78003173828125
2021-05-17_2021-06-11,2021-05-17,2021-06-11,408.6300048828125,407.5,2.0311773244307614,397.8900146484375,17.7300048828125,8.120019531250001,-10.739990234375,1,-2.6199707031249986,137.16006103515625
2021-06-14_2021-07-09,2021-06-14,2021-07-09,399.1600036621094,400.0,2.02926143042545,412.1099853515625,17.039996337890624,4.930010986328124,-4.690032958984375,3,0.2399780273437493,137.40003906249999
2021-07-12_2021-08-06,2021-07-12,2021-08-06,416.0400085449219,412.5,2.7761753107340614,415.1199951171875,26.640008544921876,24.020013427734376,-21.579986572265625,3,2.4400268554687514,139.84006591796873
2021-08-09_2021-09-03,2021-08-09,2021-09-03,410.8699951171875,410.0,1.820527195680612,422.8599853515625,15.8299951171875,2.970009765625001,-0.69000244140625,1,2.280007324218751,142.1200732421875
2021-09-03_2021-10-01,2021-09-03,2021-10-01,422.8599853515625,425.0,2.5493071875877757,392.42999267578125,23.7000146484375,-8.869992675781251,15.49005126953125,1,6.620058593749999,148.7401318359375
2021-10-04_2021-10-29,2021-10-04,2021-10-29,387.010009765625,385.0,2.2273325708604563,460.4700012207031,19.250009765625,-56.21999145507813,38.079986572265625,1,-18.140004882812505,130.60012695312497
2021-11-01_2021-11-26,2021-11-01,2021-11-26,454.1099853515625,455.0,1.6846139144193293,439.9100036621094,16.190014648437497,1.1000183105468722,-14.199981689453125,0,-13.099963378906253,117.50016357421872
2021-12-27_2022-01-21,2021-12-27,2022-01-21,499.5,500.0,2.408408408408408,461.1700134277344,24.56,-14.269986572265626,-21.370025634765625,1,-35.64001220703125,81.86015136718747
2022-01-24_2022-02-18,2022-01-24,2022-02-18,462.2699890136719,460.0,3.519588203143944,467.80999755859375,34.809989013671874,26.999991455078124,-2.040008544921875,1,24.95998291015625,106.82013427734373
