period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,213.35000610351562,212.5,2.95289422065603,201.4600067138672,13.450006103515625,2.410012817382812,-14.570022583007812,1,-12.160009765625,-12.160009765625
2020-10-05_2020-10-30,2020-10-05,2020-10-30,203.5399932861328,202.5,2.874128030345455,181.7100067138672,12.739993286132812,-8.05,19.149993896484375,1,11.099993896484374,-1.060015869140626
2020-11-02_2020-11-27,2020-11-02,2020-11-27,184.74000549316406,185.0,3.772869867245896,211.0,14.199994506835939,-11.800005493164061,0.4600067138671875,1,-11.339998779296874,-12.4000146484375
2020-12-28_2021-01-22,2020-12-28,2021-01-22,212.6300048828125,212.5,2.375017581729927,202.02000427246094,10.2300048828125,-0.24999084472656286,3.0699920654296875,1,2.8200012207031246,-9.580013427734375
2021-01-25_2021-02-19,2021-01-25,2021-02-19,200.97999572753906,200.0,2.930639926963104,204.72999572753906,12.759995727539062,8.03,-12.790008544921875,1,-4.760008544921876,-14.34002197265625
2021-02-22_2021-03-19,2021-02-22,2021-03-19,208.32000732421875,207.5,2.347350147885436,206.89999389648438,10.60000732421875,10.000001220703124,-9.0,2,1.0000012207031244,-13.340020751953126
2021-03-22_2021-04-16,2021-03-22,2021-04-16,208.0,207.5,2.394230769230769,226.41000366210938,10.46,-8.450003662109374,0.69000244140625,1,-7.760001220703124,-21.10002197265625
2021-04-19_2021-05-14,2021-04-19,2021-05-14,225.7899932861328,225.0,2.3163116858647816,226.94000244140625,11.249993286132813,9.309990844726563,-11.469985961914062,1,-2.159995117187499,-23.26001708984375
2021-05-17_2021-06-11,2021-05-17,2021-06-11,226.44000244140625,227.5,2.406818557339596,234.9600067138672,11.95999755859375,4.499990844726563,2.7599945068359375,1,7.2599853515625,-16.00003173828125
2021-06-14_2021-07-09,2021-06-14,2021-07-09,234.0800018310547,235.0,2.1573820747168293,238.47000122070312,11.019998168945312,7.549996948242187,-8.269973754882812,2,-0.7199768066406254,-16.720008544921875
2021-07-12_2021-08-06,2021-07-12,2021-08-06,237.8699951171875,237.5,2.055744776717603,241.39999389648438,10.1499951171875,6.250001220703124,-5.089996337890625,1,1.1600048828124994,-15.560003662109375
2021-08-09_2021-09-03,2021-08-09,2021-09-03,240.0,240.0,2.0875,225.11000061035156,10.02,-4.869999389648438,14.889999389648438,0,10.02,-5.540003662109376
2021-09-03_2021-10-01,2021-09-03,2021-10-01,225.11000061035156,225.0,1.9501576953921111,230.4600067138672,8.890000610351562,3.4299938964843744,-16.470001220703125,3,-13.04000732421875,-18.580010986328126
