month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,46.555,47,44.965,-0.8531,0.0,-2.43,0.0433,1,-3.3264,-7.1451
2023-02,44.08,44,41.845,-0.4639,0.0,-1.435,0.0644,2,-1.9633,-4.454
2023-03,42.67,43,41.415,0.8937,0.0,1.51,0.0638,2,2.34,5.4839
2023-04,43.29,43,42.565,1.9142,0.0,-1.275,0.0494,1,0.5898,1.3624
2023-05,42.085,42,38.295,-1.7043,0.0,-1.625,0.0732,3,-3.4025,-8.0849
2023-06,38.77,39,40.585,0.3902,0.0,-2.98,0.0708,3,-2.6605,-6.8623
2023-07,40.68,41,43.74,-0.6669,0.0,1.01,0.0602,2,0.2829,0.6955
2023-08,43.535,44,44.46,2.103,0.0,1.22,0.0393,0,3.2838,7.5428
2023-09,45.37,45,45.195,1.8399,0.0,-1.38,0.0673,2,0.3926,0.8652
2023-10,44.295,44,42.595,1.0222,0.0,0.445,0.066,2,1.4012,3.1632
2023-11,42.495,42,42.29,1.9875,0.0,-2.34,0.0763,3,-0.4288,-1.009
2023-12,42.51,43,41.92,0.7579,0.0,-1.66,0.0623,2,-0.9643,-2.2685
2024-01,42.37,42,41.705,1.5555,0.0,-1.04,0.0628,2,0.4527,1.0683
2024-02,41.7,42,43.07,0.7989,0.0,1.02,0.037,0,1.782,4.2733
2024-03,43.57,44,47.205,-1.3348,0.0,3.66,0.0384,0,2.2868,5.2485
2024-04,47.555,48,46.76,0.7234,0.0,-1.1,0.0708,2,-0.4474,-0.9407
2024-05,46.015,46,46.6,0.8508,0.0,-2.285,0.0696,2,-1.5038,-3.2681
2024-06,45.38,45,45.575,1.0644,0.0,-0.025,0.0521,1,0.9873,2.1756
2024-07,45.6,46,46.605,1.1778,0.0,-2.575,0.0957,4,-1.4929,-3.274
2024-08,45.37,45,45.64,1.721,0.0,-1.39,0.108,5,0.223,0.4916
2024-09,44.505,45,43.9,1.0817,0.0,-4.06,0.065,2,-3.0433,-6.8382
2024-10,44.9,45,44.295,1.1506,0.0,0.465,0.054,1,1.5617,3.4781
2024-11,44.015,44,47.765,-1.5202,0.0,2.07,0.0528,1,0.497,1.1291
2024-12,47.26,47,42.83,-2.2436,0.0,4.735,0.0414,0,2.4499,5.184
2025-01,43.33,43,43.82,1.3637,0.0,-0.465,0.0519,1,0.8469,1.9544
2025-02,44.095,44,45.5,0.2292,0.0,-6.69,0.1187,6,-6.5795,-14.9212
2025-03,43.91,44,46.725,-0.3213,0.0,0.3,0.0524,1,-0.0737,-0.1678
2025-04,47.0,47,40.25,-4.7303,0.0,-3.2,0.0533,1,-7.9836,-16.9863
2025-05,40.4,40,40.765,1.5431,0.0,-1.785,0.0613,2,-0.3032,-0.7505
2025-06,41.3,41,42.405,0.257,0.0,0.195,0.049,1,0.403,0.9758
2025-07,42.73,43,43.605,1.0899,0.0,-1.005,0.0775,3,0.0074,0.0173
2025-08,42.795,43,45.195,0.1745,0.0,2.335,0.0508,1,2.4587,5.7452
2025-09,45.26,45,44.67,2.1104,0.0,-3.29,0.0928,4,-1.2725,-2.8115
2025-10,44.67,45,44.065,1.6278,0.0,-0.985,0.0668,2,0.5759,1.2893
2025-11,44.07,44,45.225,0.6057,0.0,1.695,0.0376,0,2.2632,5.1354
2025-12,45.66,46,44.71,0.8829,0.0,0.92,0.0546,1,1.7483,3.8289
2026-01,45.65,46,51.05,-3.2278,0.0,3.89,0.0412,0,0.621,1.3603
2026-02,50.05,50,55.92,-3.6911,0.0,5.68,0.0435,0,1.9454,3.887
2026-03,57.04,57,61.26,-0.1585,0.0,0.87,0.0853,2,0.6262,1.0978
2026-04,58.97,59,59.65,2.9995,0.0,0.88,0.0528,0,3.8267,6.4892
2026-05,58.85,59,56.29,-0.1907,0.0,-7.52,0.103,3,-7.8137,-13.2773
2026-06,57.3,57,53.77,-1.021,0.0,2.3,0.0785,2,1.2005,2.0952
