month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,100.17,100,101.85,-0.1394,0.0,-0.97,0.0665,0,-1.1758,-1.1738
2023-02,102.59,103,100.97,1.5086,0.0,-5.46,0.1805,3,-4.1319,-4.0276
2023-03,101.37,101,101.18,4.1461,0.0,-4.92,0.1522,2,-0.9261,-0.9136
2023-04,101.36,101,100.0,2.9408,0.0,-8.3,0.1747,3,-5.5339,-5.4596
2023-05,100.54,101,96.85,-0.148,0.0,-2.57,0.1785,3,-2.8965,-2.8809
2023-06,98.09,98,107.32,-5.71,0.0,4.14,0.1192,1,-1.6892,-1.722
2023-07,107.34,107,110.42,0.7718,0.0,3.74,0.0948,0,4.417,4.1149
2023-08,110.75,111,108.23,1.4763,0.0,0.03,0.132,1,1.3744,1.241
2023-09,108.8,109,101.38,-4.3308,0.0,3.33,0.1266,1,-1.1274,-1.0362
2023-10,100.39,100,98.36,2.374,0.0,-2.14,0.1501,2,0.084,0.0836
2023-11,98.68,99,107.05,-4.2209,0.0,3.56,0.1197,1,-0.7806,-0.7911
2023-12,108.74,109,113.99,-1.7293,0.0,6.1,0.0964,0,4.2743,3.9308
2024-01,112.84,113,112.89,3.4302,0.0,-6.73,0.2344,4,-3.5341,-3.132
2024-02,114.81,115,121.0,-2.2948,0.0,6.43,0.1019,0,4.0333,3.513
2024-03,121.52,122,125.96,-0.1317,0.0,4.44,0.1064,0,4.2019,3.4578
2024-04,124.99,125,121.52,0.0806,0.0,-0.71,0.223,3,-0.8523,-0.6819
2024-05,121.22,121,123.51,1.3653,0.0,-5.07,0.1832,2,-3.8879,-3.2073
2024-06,122.0,122,121.87,2.9961,0.0,-7.36,0.2503,4,-4.6142,-3.7822
2024-07,120.56,121,127.86,-3.1467,0.0,3.76,0.1462,1,0.4671,0.3874
2024-08,125.49,125,131.46,-0.1825,0.0,-1.73,0.186,2,-2.0984,-1.6722
2024-09,128.55,129,135.44,-0.634,0.0,4.27,0.1518,1,3.4842,2.7104
2024-10,135.51,136,133.83,3.6307,0.0,-1.43,0.1217,0,2.079,1.5342
2024-11,134.01,134,143.99,-4.323,0.0,-3.2,0.1616,1,-7.6846,-5.7344
2024-12,142.93,143,131.76,-6.4601,0.0,7.94,0.1679,1,1.312,0.9179
2025-01,131.3,131,138.35,-1.3947,0.0,2.49,0.1581,1,0.9371,0.7137
2025-02,136.98,137,136.33,4.8598,0.0,-4.7,0.1984,2,-0.0386,-0.0282
2025-03,134.39,134,131.07,3.4595,0.0,-4.64,0.196,2,-1.3766,-1.0243
2025-04,131.81,132,131.22,5.0328,0.0,-3.43,0.2301,3,1.3727,1.0414
2025-05,132.21,132,142.82,-4.6472,0.0,8.93,0.1195,0,4.1633,3.149
2025-06,142.64,143,147.52,0.5967,0.0,1.03,0.2124,2,1.4142,0.9915
2025-07,148.01,148,152.01,0.6639,0.0,4.22,0.1338,0,4.7502,3.2094
2025-08,149.74,150,152.01,4.685,0.0,-7.25,0.2689,3,-2.8339,-1.8925
2025-09,150.56,151,154.23,2.9473,0.0,-5.31,0.3617,5,-2.7244,-1.8095
2025-10,153.8,154,155.06,5.5753,0.0,-1.94,0.2313,2,3.4039,2.2132
2025-11,154.4,154,153.69,5.7946,0.0,-4.83,0.3138,4,0.6509,0.4215
2025-12,151.44,151,155.12,1.9097,0.0,-5.48,0.2768,3,-3.8471,-2.5403
2026-01,157.98,158,165.44,-2.3786,0.0,7.14,0.1402,0,4.6212,2.9252
2026-02,167.53,168,177.14,-2.0756,0.0,9.61,0.1438,0,7.3906,4.4115
2026-03,178.9,179,161.73,-6.2422,0.0,14.91,0.2091,1,8.4587,4.7282
2026-04,164.43,164,174.58,0.5982,0.0,12.86,0.1475,0,13.3108,8.0951
2026-05,172.96,173,173.13,7.6314,0.0,-5.33,0.256,2,2.0454,1.1826
2026-06,172.4,172,180.91,-2.4576,0.0,-7.07,0.2391,2,-9.7667,-5.6651
