month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,68.065,68,67.98,1.4919,0.0,-1.525,0.0643,1,-0.0974,-0.1431
2023-02,69.58,70,68.26,1.8898,0.0,-1.08,0.0812,1,0.7286,1.0472
2023-03,67.76,68,75.505,-3.4951,0.0,-1.17,0.1242,3,-4.7893,-7.068
2023-04,75.385,75,75.415,3.073,0.0,-4.22,0.1528,4,-1.2998,-1.7242
2023-05,75.46,75,82.14,-3.734,0.0,4.61,0.1139,2,0.7621,1.01
2023-06,82.975,83,86.93,-0.7364,0.0,3.465,0.0745,0,2.6541,3.1986
2023-07,86.745,87,89.175,1.4278,0.0,3.035,0.0766,0,4.3862,5.0564
2023-08,89.325,89,87.83,3.0118,0.0,-1.43,0.132,2,1.4498,1.6231
2023-09,88.1,88,81.965,-2.4417,0.0,2.575,0.1024,1,0.0309,0.035
2023-10,82.845,83,82.005,3.3249,0.0,-1.88,0.1481,3,1.2968,1.5653
2023-11,83.59,84,92.58,-4.5522,0.0,8.235,0.0759,0,3.607,4.3151
2023-12,92.79,93,96.24,-0.3128,0.0,4.375,0.082,0,3.9802,4.2895
2024-01,93.72,94,98.84,-1.5844,0.0,-0.225,0.1128,1,-1.9222,-2.051
2024-02,100.085,100,103.49,0.2784,0.0,4.085,0.0885,0,4.2749,4.2713
2024-03,105.38,105,104.135,3.3092,0.0,-8.365,0.2485,5,-5.3043,-5.0335
2024-04,104.425,104,98.135,-1.0514,0.0,0.78,0.1531,2,-0.4245,-0.4065
2024-05,97.13,97,105.08,-3.6476,0.0,0.13,0.1193,1,-3.6369,-3.7444
2024-06,105.345,105,113.115,-3.9313,0.0,2.465,0.1231,1,-1.5893,-1.5087
2024-07,113.97,114,109.4,0.0977,0.0,4.44,0.1358,1,4.4019,3.8623
2024-08,105.32,105,110.165,3.0477,0.0,-2.315,0.1263,1,0.6064,0.5758
2024-09,105.105,105,112.88,-0.1761,0.0,-0.46,0.1251,1,-0.7611,-0.7242
2024-10,110.13,110,111.12,6.6047,0.0,-6.825,0.1335,1,-0.3538,-0.3212
2024-11,111.955,112,116.865,3.6103,0.0,-12.115,0.2386,4,-8.7433,-7.8096
2024-12,117.975,118,116.26,3.3305,0.0,-4.865,0.2109,3,-1.7454,-1.4795
2025-01,115.985,116,115.405,5.1048,0.0,-14.35,0.2447,4,-9.4899,-8.182
2025-02,113.85,114,112.765,4.8173,0.0,-1.695,0.1664,2,2.9558,2.5963
2025-03,109.335,109,103.24,2.3391,0.0,-0.185,0.1596,2,1.9945,1.8242
2025-04,103.995,104,104.985,5.8634,0.0,2.685,0.1232,1,8.4252,8.1015
2025-05,106.525,107,115.455,-1.676,0.0,7.71,0.0963,0,5.9377,5.574
2025-06,116.475,116,126.615,-5.2059,0.0,9.985,0.104,0,4.6751,4.0138
2025-07,125.485,125,131.37,-0.9164,0.0,6.2,0.1138,0,5.1699,4.1199
2025-08,128.535,129,131.225,4.5678,0.0,-7.72,0.2323,3,-3.3845,-2.6332
2025-09,129.9,130,140.93,-5.0464,0.0,6.075,0.1559,1,0.8727,0.6718
2025-10,142.31,142,150.34,-1.3793,0.0,3.425,0.2154,2,1.8303,1.2862
2025-11,150.955,151,143.11,-0.6992,0.0,2.085,0.1707,1,1.2151,0.8049
2025-12,143.175,143,143.97,6.9161,0.0,-0.735,0.2159,2,5.9652,4.1664
2026-01,144.3,144,143.88,6.7047,0.0,-11.87,0.3473,5,-5.5127,-3.8203
2026-02,145.26,145,138.76,1.367,0.0,7.12,0.1226,0,8.3645,5.7583
2026-03,139.54,140,132.9,4.4607,0.0,-1.8,0.2891,4,2.3716,1.6996
2026-04,134.91,135,159.5,-14.0135,0.0,18.45,0.1643,1,4.2722,3.1667
2026-05,161.87,162,191.02,-20.5202,0.0,28.31,0.1469,0,7.6428,4.7216
2026-06,195.76,196,191.44,3.2352,0.0,-15.91,0.2585,2,-12.9333,-6.6067
