month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,72.305,72,74.35,-0.6825,0.0,1.985,0.0473,0,1.2552,1.736
2023-02,75.76,76,72.77,0.3306,0.0,-4.305,0.0876,1,-4.0619,-5.3616
2023-03,71.855,72,74.77,1.3901,0.0,-1.335,0.1299,3,-0.0747,-0.104
2023-04,74.085,74,73.93,3.4882,0.0,-2.39,0.1506,4,0.9476,1.279
2023-05,73.2,73,75.805,0.7418,0.0,0.705,0.1102,2,1.3365,1.8259
2023-06,76.7,77,84.905,-4.5546,0.0,7.29,0.0696,0,2.6657,3.4755
2023-07,85.93,86,86.87,2.4735,0.0,-0.195,0.1016,1,2.1769,2.5333
2023-08,85.885,86,85.355,3.109,0.0,-2.905,0.1536,3,0.0503,0.0586
2023-09,84.835,85,80.49,-0.8614,0.0,4.145,0.0994,1,3.1843,3.7535
2023-10,80.555,81,76.05,-0.0194,0.0,0.515,0.1194,2,0.3763,0.4671
2023-11,76.99,77,84.39,-3.4788,0.0,6.06,0.0698,0,2.5114,3.2619
2023-12,85.545,86,89.405,0.2718,0.0,4.48,0.0758,0,4.676,5.4662
2024-01,88.575,89,85.46,0.3187,0.0,2.525,0.0783,0,2.7654,3.1221
2024-02,87.105,87,92.205,-1.6998,0.0,4.505,0.0775,0,2.7277,3.1315
2024-03,92.51,93,91.945,2.5609,0.0,-2.36,0.1885,4,0.0124,0.0134
2024-04,91.26,91,87.81,0.3878,0.0,-0.64,0.1072,1,-0.3594,-0.3938
2024-05,87.26,87,87.985,2.8349,0.0,-1.085,0.105,1,1.6449,1.8851
2024-06,87.945,88,91.2,-0.4765,0.0,3.625,0.0752,0,3.0733,3.4946
2024-07,91.51,92,93.745,1.7747,0.0,-4.49,0.11,1,-2.8252,-3.0874
2024-08,91.445,91,93.56,2.8249,0.0,0.175,0.1085,1,2.8914,3.1619
2024-09,92.275,92,100.185,-2.7272,0.0,2.12,0.1652,3,-0.7724,-0.8371
2024-10,99.78,100,98.445,3.9819,0.0,-5.415,0.2082,4,-1.6413,-1.6449
2024-11,100.045,100,111.15,-5.1587,0.0,11.525,0.0896,0,6.2766,6.2738
2024-12,112.12,112,112.175,4.2908,0.0,0.275,0.0998,0,4.4661,3.9833
2025-01,110.7,111,116.085,1.3835,0.0,0.515,0.1335,1,1.7651,1.5945
2025-02,114.55,115,107.98,-1.0353,0.0,6.64,0.0964,0,5.5083,4.8086
2025-03,105.99,106,98.73,-0.7703,0.0,5.455,0.0919,0,4.5928,4.3333
2025-04,99.76,100,98.63,4.5234,0.0,-1.365,0.1734,3,2.9849,2.9921
2025-05,99.175,99,106.9,-2.5739,0.0,6.675,0.0896,0,4.0116,4.0449
2025-06,107.15,107,108.665,2.6361,0.0,-6.99,0.2236,4,-4.5774,-4.272
2025-07,109.13,109,110.715,2.351,0.0,-2.58,0.1649,2,-0.3939,-0.361
2025-08,108.045,108,115.87,-1.3734,0.0,0.725,0.13,1,-0.7784,-0.7205
2025-09,115.005,115,119.82,1.3389,0.0,-8.245,0.2798,5,-7.1858,-6.2483
2025-10,120.57,121,119.965,5.9578,0.0,-2.025,0.2166,3,3.7162,3.0822
2025-11,121.09,121,118.23,3.4204,0.0,-2.48,0.2447,4,0.6958,0.5746
2025-12,118.3,118,119.41,5.0521,0.0,-3.595,0.1778,2,1.2792,1.0813
2026-01,118.35,118,121.17,1.9515,0.0,-9.52,0.2502,4,-7.8187,-6.6064
2026-02,121.97,122,116.86,0.5479,0.0,5.22,0.1029,0,5.665,4.6445
2026-03,115.42,115,108.98,1.2237,0.0,4.12,0.1014,0,5.2423,4.5419
2026-04,109.8,110,118.35,-1.1335,0.0,10.89,0.0987,0,9.6578,8.7958
2026-05,118.63,119,120.87,3.6171,0.0,0.32,0.1759,2,3.7612,3.1706
2026-06,118.19,118,117.16,3.3994,0.0,-3.68,0.1613,2,-0.442,-0.3739
