period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,220.66549682617188,240.0,3.7330138472777183,204.46629333496094,35.809450279198465,0.27574361415940274,2.5408059692382814,0.10694488525390625,1,2.816549583397684,2.816549583397684
2020-10-05_2020-10-30,2020-10-05,2020-10-30,205.4684600830078,222.5,2.5399390822783188,200.19985961914062,27.469087355799672,5.168946974940297,5.2686004638671875,0.0,0,10.437547438807485,13.254097022205169
2020-11-02_2020-11-27,2020-11-02,2020-11-27,203.2271728515625,220.0,4.895685488911859,230.85147094726562,36.67155357007703,25.820082622811405,-9.460527488708497,0.1108570785522461,1,16.35955513410291,29.613652156308078
2020-12-28_2021-01-22,2020-12-28,2021-01-22,239.675048828125,260.0,2.865188007230767,235.9468231201172,34.059232682570844,10.006055802688032,0.43141773223876956,0.11904308319091797,1,10.4374735349268,40.05112569123488
2021-01-25_2021-02-19,2021-01-25,2021-02-19,233.41847229003906,252.5,2.717013247552185,235.50222778320312,31.765549338669516,14.76777712187264,-2.0837554931640625,0.0,0,12.684021628708578,52.73514731994346
2021-02-22_2021-03-19,2021-02-22,2021-03-19,233.96493530273438,252.5,2.8687684974233467,244.29112243652344,31.958889415229137,23.750011851752575,-10.326187133789062,0.0,0,13.423824717963512,66.15897203790698
2021-03-22_2021-04-16,2021-03-22,2021-04-16,245.60623168945312,265.0,2.0870285569489972,266.5810241699219,29.645512696557283,28.064488526635408,20.97479248046875,0.0,0,49.03928100710416,115.19825304501114
2021-04-19_2021-05-14,2021-04-19,2021-05-14,266.1907958984375,287.5,1.9939484264234462,267.7328796386719,31.924618473764383,12.157498112436258,-14.956220840454101,0.12977430725097658,1,-2.798722728017843,112.39953031699329
2021-05-17_2021-06-11,2021-05-17,2021-06-11,266.6181945800781,287.5,1.7118466898954705,265.02032470703125,30.009994897078137,7.530319604109387,-5.9470990295410155,0.13145571899414063,1,1.5832205745683714,113.98275089156166
2021-06-14_2021-07-09,2021-06-14,2021-07-09,265.4197998046875,285.0,2.385037349880823,290.4186706542969,32.24092291395391,26.822252259657034,-27.96747314453125,0.274449462890625,2,-1.1452208848742167,112.83753000668744
2021-07-12_2021-08-06,2021-07-12,2021-08-06,289.4432678222656,312.5,1.8899219611174898,299.8185729980469,33.997235944832596,21.31580894287947,10.37530517578125,0.0,0,31.69111411866072,144.52864412534817
2021-08-09_2021-09-03,2021-08-09,2021-09-03,297.6665344238281,320.0,1.5900351106887838,319.8481140136719,31.79947039639064,31.647584410062514,22.18157958984375,0.0,0,53.829163999906264,198.35780812525442
2021-09-03_2021-10-01,2021-09-03,2021-10-01,319.8481140136719,345.0,2.2009933035188505,302.6412658691406,39.23155712807264,-3.1271770027867376,-18.56880354309082,0.15101789855957032,1,-21.695980545877557,176.66182757937688
2021-10-04_2021-10-29,2021-10-04,2021-10-29,297.6385498046875,320.0,2.4352906969191466,335.2430725097656,36.85817802298973,21.61510551322411,-8.593647827148438,0.1603287353515625,1,13.02145768607567,189.68328526545255
2021-11-01_2021-11-26,2021-11-01,2021-11-26,332.000732421875,355.0,1.9798153348164398,330.3936462402344,36.14527040250735,11.538916642741725,-1.607086181640625,0.0,0,9.9318304611011,199.61511572655365
