period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,527.9500122070312,525.0,5.955497539691926,478.989990234375,65.83411218261719,19.82410241699219,-82.91105767822266,0.23106500244140626,1,-63.08695526123047,-63.08695526123047
2020-10-05_2020-10-30,2020-10-05,2020-10-30,486.4700012207031,487.5,5.069897411328736,447.1000061035156,50.35705877685547,9.957064880371092,19.78164453125,0.488375,2,29.73870941162109,-33.348245849609384
2020-11-02_2020-11-27,2020-11-02,2020-11-27,444.94000244140625,445.0,4.46241288457162,477.0299987792969,39.77011755371094,7.740118774414064,-52.73363575744629,0.24361500549316406,1,-44.99351698303222,-78.3417628326416
2021-01-25_2021-02-19,2021-01-25,2021-02-19,473.44000244140625,472.5,3.057739084764016,479.1199951171875,29.893122436523434,23.273127319335934,-17.54245278930664,0.24246499633789062,1,5.730674530029294,-72.61108830261232
2021-02-22_2021-03-19,2021-02-22,2021-03-19,467.3299865722656,465.0,2.8294075692450873,441.5,28.775326599121094,5.275326599121094,25.829986572265625,0.0,0,31.10531317138672,-41.5057751312256
2021-03-22_2021-04-16,2021-03-22,2021-04-16,452.4100036621094,450.0,3.1050573335309335,525.0800170898438,30.505183654785156,-44.57483343505859,72.67001342773438,0.0,0,28.09517999267578,-13.410595138549816
2021-04-19_2021-05-14,2021-04-19,2021-05-14,516.1699829101562,515.0,2.2596877779156,486.55999755859375,24.497642944335936,-3.9423594970703135,-21.575306060791014,0.24535000610351562,1,-25.517665557861328,-38.928260696411144
2021-05-17_2021-06-11,2021-05-17,2021-06-11,482.739990234375,482.5,2.37545267467859,541.260009765625,23.17451025390625,-35.58549951171875,40.41413813781738,0.24583500671386718,1,4.8286386260986305,-34.09962207031251
2021-06-14_2021-07-09,2021-06-14,2021-07-09,556.9500122070312,555.0,2.970293495862881,604.5,35.03611218261719,-14.463887817382812,47.54998779296875,0.0,0,33.08609997558594,-1.013522094726575
2021-07-12_2021-08-06,2021-07-12,2021-08-06,600.2000122070312,600.0,2.215894654664781,631.3800048828125,26.799612182617185,-4.580392700195315,31.17999267578125,0.0,0,26.599599975585935,25.58607788085936
2021-08-09_2021-09-03,2021-08-09,2021-09-03,629.219970703125,630.0,1.989889166312612,666.5900268554688,25.82158935546875,-10.768437500000001,37.37005615234375,0.0,0,26.60161865234375,52.18769653320311
2021-09-03_2021-10-01,2021-09-03,2021-10-01,666.5900268554688,665.0,2.5403035285458992,577.469970703125,35.45684680175781,-52.07318249511719,-37.06177374267578,0.30182501220703123,1,-89.13495623779298,-36.94725970458987
2021-10-04_2021-10-29,2021-10-04,2021-10-29,558.489990234375,560.0,3.445273925445067,650.3599853515625,39.993029785156246,-50.366955566406254,-6.473798950195312,0.3037550048828125,1,-56.840754516601564,-93.78801422119143
2021-11-01_2021-11-26,2021-11-01,2021-11-26,640.2000122070312,640.0,2.5632301897686127,662.0999755859375,33.01961218261719,10.919636596679688,21.89996337890625,0.0,0,32.81959997558594,-60.968414245605494
2021-12-27_2022-01-21,2021-12-27,2022-01-21,577.6799926757812,580.0,3.0938097621384872,499.9100036621094,38.06464733886719,-42.025348999023436,77.76998901367188,0.0,0,35.74464001464844,-25.223774230957055
2022-01-24_2022-02-18,2022-01-24,2022-02-18,519.6599731445312,520.0,4.649259376406856,442.55999755859375,48.66070690917969,-28.779295532226563,26.276582809448243,0.5234049835205079,2,-2.5027127227783197,-27.726486953735375
