period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,31.714942932128906,360.0,5.348629020835268,31.76285743713379,331.6776863510895,3.4405437882232945,0.032033076286315916,0.015881428718566896,1,3.4725768645096107,3.4725768645096107
2020-10-05_2020-10-30,2020-10-05,2020-10-30,32.588016510009766,365.0,3.123163016463737,31.121950149536133,334.4475372488697,0.5694873984058404,2.5087497901916502,0.016558818817138672,1,3.0782371885974906,6.550814053107102
2020-11-02_2020-11-27,2020-11-02,2020-11-27,31.266155242919922,350.0,4.606049822064057,35.156070709228516,321.6141141329457,6.770184842174217,-3.8899154663085938,0.0,0,2.8802693758656233,9.431083428972725
2020-12-28_2021-01-22,2020-12-28,2021-01-22,38.770912170410156,432.5,2.37754007317951,41.745975494384766,395.57267577676726,4.818651271152021,2.9750633239746094,0.0,0,7.79371459512663,17.224798024099357
2021-01-25_2021-02-19,2021-01-25,2021-02-19,41.72532272338867,465.0,2.838961675830591,43.984901428222656,425.6438091190786,4.628710547301239,2.2595787048339844,0.0,0,6.888289252135223,24.11308727623458
2021-02-22_2021-03-19,2021-02-22,2021-03-19,42.76399612426758,480.0,4.56034076338147,42.92636489868164,441.1363717703441,4.062736669025753,-3.6301469535827637,0.020520183563232423,1,0.4325897154429894,24.54567699167757
2021-03-22_2021-04-16,2021-03-22,2021-04-16,43.00054931640625,477.5,3.1822757195898927,43.318115234375,437.2362427639663,3.0543579983412883,-2.3687862968444824,0.02099271774291992,1,0.6855717014968059,25.231248693174376
2021-04-19_2021-05-14,2021-04-19,2021-05-14,41.79905700683594,462.5,1.1770562559671731,39.95518493652344,421.68493982403254,-0.8598752394440226,1.8438720703125,0.0,0,0.9839968308684774,26.215245524042853
2021-05-17_2021-06-11,2021-05-17,2021-06-11,39.80319595336914,440.0,4.036927811661438,42.586185455322266,403.4104566213741,5.996642076696389,-2.782989501953125,0.0,0,3.2136525747432643,29.428898098786117
2021-06-14_2021-07-09,2021-06-14,2021-07-09,43.050315856933594,475.0,3.262545433963801,43.78394317626953,434.7587563716612,3.542699547930738,-2.578648210525513,0.021069169998168946,1,0.9640513374052251,30.392949436191344
2021-07-12_2021-08-06,2021-07-12,2021-08-06,44.291831970214844,485.0,2.514513597638382,44.262657165527344,442.9356163048535,2.1982734703808546,-3.216370077133179,0.021339864730834962,1,-1.0180966067523243,29.37485282943902
2021-08-09_2021-09-03,2021-08-09,2021-09-03,44.19425964355469,485.0,2.788503844172587,45.379638671875,443.2704576145736,3.6500962864486155,-1.6486728992462159,0.02198680305480957,1,2.0014233872024,31.376276216641422
2021-09-03_2021-10-01,2021-09-03,2021-10-01,45.379638671875,500.0,4.067336310761381,44.76340103149414,458.311846370912,3.0752474024061485,0.07213279724121094,0.022559432983398436,1,3.1473801996473596,34.52365641628878
2021-10-04_2021-10-29,2021-10-04,2021-10-29,43.71630096435547,475.0,2.639783520444116,48.83422088623047,433.5917304528541,7.425951339084577,-5.117919921875,0.0,0,2.308031417209577,36.83168783349836
2021-11-01_2021-11-26,2021-11-01,2021-11-26,48.5017204284668,530.0,2.3372691839069115,50.204627990722656,483.7655111020117,3.970139092734371,1.7029075622558594,0.0,0,5.67304665499023,42.50473448848859
2021-12-27_2022-01-21,2021-12-27,2022-01-21,62.3292121887207,675.0,2.525022191299924,49.290809631347656,615.8184406901346,-9.89074967851775,-1.241281852722168,0.027601585388183594,1,-11.132031531239917,31.37270295724867
2022-01-24_2022-02-18,2022-01-24,2022-02-18,50.06267166137695,540.0,3.77754341614664,53.61322021484375,493.7196066532059,7.332826868049665,-3.550548553466797,0.0,0,3.782278314582868,35.15498127183154
2022-02-18_2022-03-18,2022-02-18,2022-03-18,53.61322021484375,580.0,4.688013541093219,56.42518997192383,531.4135698321322,7.838759804056053,-2.811969757080078,0.0,0,5.026790046975975,40.18177131880751
2022-04-18_2022-05-13,2022-04-18,2022-05-13,54.58160400390625,585.0,3.4464619708189,54.7435302734375,534.180664446209,3.9241947196464935,-0.16192626953125,0.0,0,3.7622684501152435,43.94403976892276
2022-05-16_2022-06-10,2022-05-16,2022-06-10,54.22517013549805,585.0,4.2077558028023985,50.37235641479492,535.3381553504137,0.7105117652085937,1.5741203117370606,0.026549549102783204,1,2.2846320769456545,46.22867184586841
2022-06-13_2022-07-08,2022-06-13,2022-07-08,48.171409606933594,520.0,4.691159441843518,46.79447937011719,476.34818565315595,3.142665023273139,1.3769302368164062,0.0,0,4.519595260089545,50.74826710595796
2022-07-11_2022-08-05,2022-07-11,2022-08-05,45.30906295776367,485.0,3.718912369641532,51.74425506591797,443.06094573604616,9.805200801964133,-6.435192108154297,0.0,0,3.3700086938098366,54.118275799767794
2022-08-08_2022-09-02,2022-08-08,2022-09-02,51.189693450927734,545.0,3.6944749999685325,46.93803787231445,497.5926874032824,-0.4692747244031352,1.0777543773651124,0.024807573318481446,1,0.6084796529619771,54.72675545272977
2022-09-02_2022-09-30,2022-09-02,2022-09-30,46.93803787231445,500.0,3.784290961763268,42.012943267822266,456.61450597734756,-1.372550754830172,4.9250946044921875,0.0,0,3.5525438496620154,58.279299302391784
2022-10-03_2022-10-28,2022-10-03,2022-10-28,43.22126388549805,455.0,3.205748836625101,44.74656295776367,414.54986644287,4.296429400633656,-1.525299072265625,0.0,0,2.771130328368031,61.050429630759815
2022-10-31_2022-11-25,2022-10-31,2022-11-25,44.48351287841797,470.0,3.5586402663958863,50.14094161987305,428.68250352397956,8.82344514385261,-8.345423875808716,0.021575151443481447,1,0.4780212680438929,61.52845089880371
2022-11-28_2022-12-23,2022-11-28,2022-12-23,49.41234588623047,520.0,3.35263395342769,52.70795822143555,473.90088428450326,6.60884250593881,3.295612335205078,0.0,0,9.904454841143888,71.4329057399476
2022-12-23_2023-01-20,2022-12-23,2023-01-20,52.70795822143555,550.0,2.7600908696616218,54.45875930786133,500.2016168634742,4.6603761713355425,-3.2155999908447264,0.02599427795410156,1,1.4447761804908161,72.87768192043842
2023-01-23_2023-02-17,2023-01-23,2023-02-17,55.49396896362305,582.5,2.7884343173621233,56.825904846191406,530.1008567856729,4.426761631864338,1.3035229301452638,0.028412952423095703,1,5.730284562009602,78.60796648244802
2023-03-20_2023-04-14,2023-03-20,2023-04-14,61.417091369628906,645.0,3.030291484083176,59.53645324707031,587.305142409462,1.841595656532263,-0.9189092903137207,0.030016162872314452,1,0.9226863662185424,79.53065284866656
2023-04-17_2023-05-12,2023-04-17,2023-05-12,60.287940979003906,625.0,1.7059806154324741,60.65214920043945,566.7690601940865,2.421209394525931,-1.420417022705078,0.02988739013671875,1,1.0007923718208531,80.53144522048741
2023-05-15_2023-06-09,2023-05-15,2023-06-09,61.4833984375,640.0,2.5101907032643087,77.3222427368164,581.6033026657581,18.92554540257447,15.838844299316406,0.0,0,34.76438970189088,115.29583492237829
2023-07-10_2023-08-04,2023-07-10,2023-08-04,84.79733276367188,880.0,2.0874607710683644,85.17604064941406,798.742889349036,3.9189299984500394,0.3787078857421875,0.0,0,4.297637884192227,119.59347280657052
2023-08-07_2023-09-01,2023-08-07,2023-09-01,86.664794921875,895.0,3.658945836198417,84.29399108886719,814.6772408886127,3.9712319774798743,-10.672955013275146,0.04008147811889649,1,-6.701723035795272,112.89174977077525
2023-09-01_2023-09-29,2023-09-01,2023-09-29,84.29399108886719,875.0,2.9371797017460377,80.67919921875,795.6577409032404,1.3369401219904375,0.5804121627807617,0.041398750305175785,1,1.9173522847711992,114.80910205554645
2023-10-02_2023-10-27,2023-10-02,2023-10-27,81.10367584228516,835.0,3.493029404532607,81.4349136352539,759.5622746483705,5.997188283624382,-0.33123779296875,0.0,0,5.665950490655632,120.47505254620208
2023-10-30_2023-11-24,2023-10-30,2023-11-24,81.71564483642578,840.0,3.5196136701337295,95.08349609375,764.0365051761758,19.12000126992575,-13.367851257324219,0.0,0,5.752150012601533,126.22720255880361
