period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,322.4503479003906,352.5,4.419323746180743,325.781494140625,58.549901688418146,31.831395829043146,-26.46508139038086,0.15548056030273438,1,5.366314438662286,5.366314438662286
2020-10-05_2020-10-30,2020-10-05,2020-10-30,329.0574951171875,357.5,2.3597022506225347,328.8072204589844,43.97205911905732,15.279279578041695,-0.4146782684326172,0.16440361022949218,1,14.864601309609078,20.230915748271364
2020-11-02_2020-11-27,2020-11-02,2020-11-27,335.0318603515625,365.0,3.49504911588723,357.0981750488281,53.387195794753154,45.48537084358128,-22.066314697265625,0.0,0,23.419056146315654,43.64997189458702
2020-12-28_2021-01-22,2020-12-28,2021-01-22,350.100830078125,370.0,1.8349970482512634,341.8355407714844,32.74784971754853,4.583390489032908,6.128083068847657,0.17455975341796875,1,10.711473557880565,54.361445452467585
2021-01-25_2021-02-19,2021-01-25,2021-02-19,341.4393005371094,362.5,2.594263255345467,335.3919372558594,38.77636808917624,11.668305345035613,6.04736328125,0.0,0,17.715668626285613,72.0771140787532
2021-02-22_2021-03-19,2021-02-22,2021-03-19,331.0809631347656,350.0,2.4841638504939274,310.9443359375,35.36822406935632,-3.687439993143677,20.136627197265625,0.0,0,16.449187204121948,88.52630128287515
2021-03-22_2021-04-16,2021-03-22,2021-04-16,316.2195129394531,335.0,1.9478938682739797,350.470703125,31.09972806621378,15.629024941213778,-6.87101545715332,0.16834822082519532,1,8.758009484060459,97.28431076693562
2021-04-19_2021-05-14,2021-04-19,2021-05-14,349.36456298828125,370.0,1.60477613532744,364.2008361816406,31.848475275972632,26.049311457613257,14.836273193359375,0.0,0,40.88558465097263,138.16989541790826
2021-05-17_2021-06-11,2021-05-17,2021-06-11,363.7649230957031,385.0,2.2309720281226526,361.7469787597656,37.466064269070905,14.21304302883653,-8.942614852905274,0.17918711853027344,1,5.270428175931256,143.4403235938395
2021-06-14_2021-07-09,2021-06-14,2021-07-09,363.5755615234375,385.0,2.393746027848164,390.68072509765625,38.83058960095039,33.14986450329414,-25.829381881713868,0.3725947723388672,2,7.320482621580272,150.7608062154198
2021-07-12_2021-08-06,2021-07-12,2021-08-06,386.4269104003906,407.5,1.429861705722203,417.2877197265625,32.123830424450645,22.336110697888145,30.860809326171875,0.0,0,53.19692002406002,203.95772623947983
2021-08-09_2021-09-03,2021-08-09,2021-09-03,418.08502197265625,440.0,1.5573205847774048,439.04290771484375,34.936826245446376,33.979733960290126,20.9578857421875,0.0,0,54.937619702477626,258.89534594195743
2021-09-03_2021-10-01,2021-09-03,2021-10-01,439.04290771484375,465.0,2.4186466992653743,425.5455322265625,47.194885876763834,7.740418103326334,-13.49737548828125,0.0,0,-5.756957384954916,253.13838855700251
2021-10-04_2021-10-29,2021-10-04,2021-10-29,417.7718505859375,440.0,1.2927386277060828,467.314453125,33.02954559047641,5.71509246547641,-1.8206703491210938,0.22167132568359377,1,3.894422116355316,257.03281067335786
2021-11-01_2021-11-26,2021-11-01,2021-11-26,467.6281433105469,490.0,1.9228922477024488,519.2139282226562,40.35582732103993,11.141899098383682,51.585784912109375,0.0,0,62.72768401049306,319.76049468385094
2021-12-27_2022-01-21,2021-12-27,2022-01-21,535.6992797851562,565.0,2.2000338392173564,457.8738098144531,52.871851078277956,-54.25433910726892,25.680883285522462,0.2548772125244141,1,-28.573455821746457,291.1870388621045
2022-01-24_2022-02-18,2022-01-24,2022-02-18,464.80450439453125,490.0,3.857864643397195,488.1417236328125,61.05855287737711,59.20027651018961,-45.84198512268066,0.49078883361816406,2,13.358291387508949,304.5453302496134
2022-02-18_2022-03-18,2022-02-18,2022-03-18,488.1417236328125,515.0,3.422734039836491,534.49267578125,60.27386224203718,40.78118646078718,-10.370002960205078,0.2581865539550781,1,30.411183500582105,334.95651375019554
2022-04-18_2022-05-13,2022-04-18,2022-05-13,554.26904296875,580.0,2.124627243287359,474.2488708496094,49.283259207294364,-56.46786994309626,53.26064617919922,0.27051226806640627,1,-3.2072237638970407,331.7492899862985
2022-05-16_2022-06-10,2022-05-16,2022-06-10,471.6357421875,495.0,4.288004783039353,441.86102294921875,63.811784179546294,10.672807128765044,29.77471923828125,0.0,0,40.447526367046294,372.1968163533448
2022-06-13_2022-07-08,2022-06-13,2022-07-08,431.3131408691406,450.0,3.7253178551686013,478.3212585449219,50.82243002783258,22.501171482910706,3.388241180419922,0.22650491333007813,1,25.889412663330628,398.0862290166754
2022-07-11_2022-08-05,2022-07-11,2022-08-05,475.80340576171875,500.0,2.7843455955194396,516.5297241210938,50.692616581597065,34.162892460503315,40.726318359375,0.0,0,74.88921081987831,472.97543983655373
2022-08-08_2022-09-02,2022-08-08,2022-09-02,517.7047729492188,540.0,2.2103892666433143,495.932373046875,45.181808519120594,1.1141815659955938,2.258474792480469,0.25403741455078127,1,3.3726563584760627,476.34809619502977
2022-09-02_2022-09-30,2022-09-02,2022-09-30,495.932373046875,520.0,3.6082700281642843,451.1836242675781,59.85678530635356,-8.959590426068317,44.748748779296875,0.0,0,35.78915835322856,512.1372545482583
2022-10-03_2022-10-28,2022-10-03,2022-10-28,456.3999938964844,480.0,3.238705886839599,488.9413146972656,53.16291304323764,44.22159834597201,-32.785791458129886,0.24447065734863282,1,11.435806887842126,523.5730614361004
2022-10-31_2022-11-25,2022-10-31,2022-11-25,479.9734802246094,500.0,2.512163509471585,510.75311279296875,44.141957026077534,33.388844233108784,-51.93549264526367,0.48331369018554693,2,-18.546648412154887,505.0264130239455
2022-11-28_2022-12-23,2022-11-28,2022-12-23,508.13055419921875,530.0,2.8382958830238407,442.7911071777344,50.71394300122655,-36.49494982103907,13.301516983032226,0.24111607360839843,1,-23.193432838006846,481.83298018593865
2022-12-23_2023-01-20,2022-12-23,2023-01-20,442.7911071777344,465.0,2.6882849173637533,459.5016174316406,46.01586592163963,40.517483353280255,-31.14622035217285,0.46238246154785156,2,9.371263001107405,491.2042431870461
2023-01-23_2023-02-17,2023-01-23,2023-02-17,471.4650573730469,492.5,2.3136741750199046,486.5423278808594,42.851273180319055,36.89360106117843,15.0772705078125,0.0,0,51.97087156899093,543.175114756037
