period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,117.97322845458984,123.0,2.7768234095257003,115.26768493652344,11.578587994810725,3.8462729313341626,2.7055435180664062,0.0,0,6.551816449400569,6.551816449400569
2020-10-05_2020-10-30,2020-10-05,2020-10-30,116.64435577392578,122.0,3.383321149473563,106.74951934814453,13.248550543207056,-2.0019301086484127,0.966845012664795,0.056104206085205076,1,-1.0350850959836178,5.516731353416951
2020-11-02_2020-11-27,2020-11-02,2020-11-27,107.94454956054688,113.0,3.929758255895682,118.88145446777344,13.53937013574312,7.657915667969682,0.4596731719970703,0.056577438354492186,1,8.117588839966752,13.634320193383703
2020-12-28_2021-01-22,2020-12-28,2021-01-22,119.3307876586914,125.0,3.1847299088218617,113.39388275146484,13.269938911306696,1.6638216627715394,-21.12526188278198,0.17880497360229494,3,-19.46144022001044,-5.827120026626739
2021-01-25_2021-02-19,2021-01-25,2021-02-19,113.36520385742188,119.0,3.610575037922053,113.75717163085938,13.821067646909171,8.578239277768546,-0.3919677734375,0.0,0,8.186271504331046,2.359151477704307
2021-02-22_2021-03-19,2021-02-22,2021-03-19,115.54492950439453,121.0,2.9613934423690504,123.23136138916016,12.298550426271632,10.067189037111476,-9.525230308532715,0.11797322845458985,2,0.541958728578761,2.901110206283068
2021-03-22_2021-04-16,2021-03-22,2021-04-16,124.80879211425781,131.0,2.0141325721222305,127.71510314941406,11.218836955433364,7.9339401048474265,2.90631103515625,0.0,0,10.840251140003677,13.741361346286745
2021-04-19_2021-05-14,2021-04-19,2021-05-14,127.26577758789062,133.0,3.3555287590145686,138.31739807128906,14.27510194679975,8.957703875510688,11.051620483398438,0.0,0,20.009324358909126,33.75068570519587
2021-05-17_2021-06-11,2021-05-17,2021-06-11,138.72848510742188,145.0,1.7055268986634016,144.6271514892578,11.003618151808787,10.6307696410666,-8.491294914245605,0.06873326873779297,1,2.1394747268209944,35.89016043201686
2021-06-14_2021-07-09,2021-06-14,2021-07-09,143.43212890625,150.0,1.6396519903209203,135.29637145996094,11.271446606491992,-3.4321819335470707,-0.40420845794677734,0.06959847259521484,1,-3.836390391493848,32.05377004052301
