period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,147.3000030517578,147.0,2.697012840897449,145.2100067138672,8.245403045654296,6.455409759521483,-15.226758193969726,0.2967350006103516,4,-8.771348434448242,-8.771348434448242
2020-10-05_2020-10-30,2020-10-05,2020-10-30,146.6300048828125,147.0,3.7532359079681616,130.4600067138672,11.376735107421876,-5.163258178710937,11.662112297058105,0.14787000274658202,2,6.498854118347168,-2.272494316101074
2020-11-02_2020-11-27,2020-11-02,2020-11-27,131.6300048828125,132.0,2.9768060850606455,147.44000244140625,8.206735107421874,-7.233267333984376,-18.184280349731445,0.07429499816894532,1,-25.41754768371582,-27.690041999816895
2020-12-28_2021-01-22,2020-12-28,2021-01-22,166.5,167.5,3.179279279279279,206.13999938964844,11.587,-27.052999389648438,39.63999938964844,0.0,0,12.587,-15.103041999816895
2021-01-25_2021-02-19,2021-01-25,2021-02-19,212.35000610351562,210.0,3.172898422527965,200.9199981689453,15.825306091308594,6.745304260253906,-11.430007934570312,0.0,0,-4.684703674316406,-19.7877456741333
2021-02-22_2021-03-19,2021-02-22,2021-03-19,200.67999267578125,200.0,3.8117003620198777,184.2899932861328,15.978632690429684,0.26862597656249676,-6.7445586395263675,0.0945800018310547,1,-6.475932662963871,-26.263678337097172
2021-03-22_2021-04-16,2021-03-22,2021-04-16,185.83999633789062,185.0,2.0954369782604947,189.25,8.628316345214843,4.378316345214843,3.1570400009155275,0.09295999908447265,1,7.535356346130371,-18.7283219909668
2021-04-19_2021-05-14,2021-04-19,2021-05-14,189.63999938964844,190.0,3.190445064376336,196.2100067138672,12.460720611572265,6.250713897705078,-14.817484367370605,0.18751000213623048,2,-8.566770469665528,-27.29509246063233
2021-05-17_2021-06-11,2021-05-17,2021-06-11,195.52999877929688,195.0,2.78958217934497,224.08999633789062,11.438938781738281,-17.651057556152345,28.55999755859375,0.0,0,10.908940002441405,-16.386152458190924
2021-06-14_2021-07-09,2021-06-14,2021-07-09,226.10000610351562,225.0,2.1467933935721426,234.99000549316406,10.807806091308594,0.8178005981445313,8.889999389648438,0.0,0,9.707799987792969,-6.6783524703979555
2021-07-12_2021-08-06,2021-07-12,2021-08-06,236.00999450683594,235.0,3.2685014130915255,263.44000244140625,16.43797451782227,-12.00202792358398,27.430007934570312,0.0,0,15.427980010986332,8.749627540588376
2021-08-09_2021-09-03,2021-08-09,2021-09-03,267.1600036621094,270.0,3.721679839813559,259.5299987792969,22.725676330566404,12.25567510986328,-7.6300048828125,0.0,0,4.6256702270507795,13.375297767639156
2021-09-03_2021-10-01,2021-09-03,2021-10-01,259.5299987792969,260.0,2.6164489782143785,229.58999633789062,14.05094122314453,-16.359062438964845,-9.2399951171875,0.12,1,-25.599057556152346,-12.22375978851319
2021-09-07_2021-10-01,2021-09-07,2021-10-01,254.8000030517578,250.0,1.2464807604864772,229.58999633789062,11.152069083276047,-9.257934578833328,-4.509999389648438,0.12,1,-13.767933968481767,-25.991693756994955
2021-10-04_2021-10-29,2021-10-04,2021-10-29,224.85000610351562,225.0,3.1243717158994744,254.75999450683594,14.200293884277343,-15.559700622558594,6.611775726318359,0.11822000122070313,1,-8.947924896240234,-34.939618653235186
2021-11-01_2021-11-26,2021-11-01,2021-11-26,249.30999755859375,250.0,1.885479944034989,260.3699951171875,10.091382446289062,-0.278612670898438,11.05999755859375,0.0,0,10.781384887695312,-24.158233765539876
2021-12-27_2022-01-21,2021-12-27,2022-01-21,278.4100036621094,277.5,2.755500842436851,243.05999755859375,16.253183654785158,-18.186818786621092,-0.3003384246826172,0.13032499694824218,1,-18.48715721130371,-42.645390976843586
2022-01-24_2022-02-18,2022-01-24,2022-02-18,240.4199981689453,240.0,3.9678812388674523,240.30999755859375,19.49915817260742,19.18916061401367,-32.63816427612305,0.3681600036621094,3,-13.44900366210938,-56.09439463895296
2022-02-18_2022-03-18,2022-02-18,2022-03-18,240.30999755859375,240.0,3.174936573573512,287.6400146484375,15.569377563476564,-32.070637084960936,41.668468544006345,0.12154000091552734,1,9.597831459045409,-46.496563179907554
2022-02-22_2022-03-18,2022-02-22,2022-03-18,239.1300048828125,230.0,1.6321281697969332,287.6400146484375,16.93582122707083,-40.70419342136667,40.488475868225095,0.12154000091552734,1,-0.21571755314157315,-46.71228073304913
2022-04-18_2022-05-13,2022-04-18,2022-05-13,298.82000732421875,300.0,3.2197241673435983,291.6300048828125,20.422352661132813,12.052357543945313,-19.192837799072265,0.14285000610351561,1,-7.140480255126953,-53.85276098817608
2022-05-16_2022-06-10,2022-05-16,2022-06-10,299.3800048828125,300.0,3.126668395499977,297.010009765625,19.341235107421873,16.351244873046873,-35.472969299316404,0.4429400024414063,3,-19.12172442626953,-72.97448541444561
