period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2022-06-13_2022-07-08,2022-06-13,2022-07-08,164.25999450683594,165.0,5.872239332804642,170.8800048828125,20.031485504150393,14.151480621337893,-4.484894157409668,0.08488500213623047,1,9.666586463928224,9.666586463928224
2022-07-11_2022-08-05,2022-07-11,2022-08-05,162.8800048828125,165.0,7.819940823479948,167.11000061035156,27.594235107421877,25.484234497070315,-41.90274549102783,0.4127399978637696,5,-16.418510993957515,-6.7519245300292905
2022-08-08_2022-09-02,2022-08-08,2022-09-02,170.25,170.0,4.211306901615272,160.32000732421875,14.5895,4.909507324218749,5.266026100158691,0.08398000335693359,1,10.175533424377441,3.423608894348151
2022-09-02_2022-09-30,2022-09-02,2022-09-30,160.32000732421875,160.0,4.890019732110803,135.67999267578125,15.99936730957031,-8.32064001464844,-7.561103378295899,0.16113999938964846,2,-15.881743392944339,-12.458134498596188
2022-10-03_2022-10-28,2022-10-03,2022-10-28,138.61000061035156,140.0,6.789834757916302,99.19999694824219,20.212779388427734,-20.58722366333008,39.410003662109375,0.0,0,18.822779998779296,6.364645500183109
2022-10-31_2022-11-25,2022-10-31,2022-11-25,93.16000366210938,93.0,5.213439035440158,111.41000366210938,9.873683654785157,-8.536320007324218,-29.648536338806153,0.05854000091552734,1,-38.184856346130374,-31.820210845947265
2022-11-28_2022-12-23,2022-11-28,2022-12-23,108.77999877929688,109.0,4.51481895231958,118.04000091552734,10.04244122314453,1.0024403076171868,-9.43904725265503,0.05904999923706055,1,-8.436606945037843,-40.25681779098511
2022-12-23_2023-01-20,2022-12-23,2023-01-20,118.04000091552734,118.0,4.686513009300377,139.3699951171875,11.103920913696289,-10.266074203491211,11.932055419921875,0.11794000244140626,2,1.665981216430664,-38.590836574554444
2023-01-23_2023-02-17,2023-01-23,2023-02-17,143.27000427246094,143.0,5.867753015306822,172.8800048828125,17.083464263916017,-12.796540618896483,29.610000610351562,0.0,0,16.81345999145508,-21.777376583099365
2023-02-17_2023-03-17,2023-02-17,2023-03-17,172.8800048828125,175.0,4.533271502641161,195.61000061035156,17.794235107421876,-2.815765502929686,22.729995727539062,0.0,0,19.914230224609376,-1.8631463584899883
2023-03-20_2023-04-14,2023-03-20,2023-04-14,197.80999755859375,197.5,4.1464992182772855,221.49000549316406,16.714377563476564,-7.275627929687499,23.680007934570312,0.0,0,16.404380004882814,14.541233646392826
2023-04-17_2023-05-12,2023-04-17,2023-05-12,218.86000061035156,220.0,5.428648435646444,233.80999755859375,24.902279388427733,11.092281829833983,14.949996948242188,0.0,0,26.04227877807617,40.58351242446899
2023-05-15_2023-06-09,2023-05-15,2023-06-09,238.86000061035156,240.0,2.993862505700645,264.95001220703125,15.442279388427732,-9.507732818603518,26.090011596679688,0.0,0,16.58227877807617,57.165791202545165
2023-06-12_2023-07-07,2023-06-12,2023-07-07,271.04998779296875,270.0,2.537889807049634,290.5299987792969,14.807887817382813,-5.722110961914062,19.480010986328125,0.0,0,13.757900024414063,70.92369122695922
2023-07-10_2023-08-04,2023-07-10,2023-08-04,294.1000061035156,295.0,5.806154246690565,310.7300109863281,35.051793884277345,19.32178289794922,16.6300048828125,0.0,0,35.95178778076172,106.87547900772094
2023-08-07_2023-09-01,2023-08-07,2023-09-01,316.55999755859375,315.0,2.932600478278398,296.3800048828125,20.12687756347656,1.5068824462890618,-46.58162744140625,0.141625,1,-45.074744995117186,61.800734012603755
2023-09-01_2023-09-29,2023-09-01,2023-09-29,296.3800048828125,295.0,3.0716039696121618,300.2099914550781,19.587244873046878,14.377253417968753,3.829986572265625,0.0,0,18.207239990234378,80.00797400283813
2023-10-02_2023-10-27,2023-10-02,2023-10-27,306.82000732421875,305.0,4.5509352908400125,296.7300109863281,29.746367309570314,21.47637829589844,-4.639785751342774,0.14976499938964843,1,16.836592544555664,96.84456654739378
2023-10-30_2023-11-24,2023-10-30,2023-11-24,302.6600036621094,305.0,3.7161633054410648,338.2300109863281,24.83467633056641,-8.395334655761715,17.034077438354494,0.15592500305175783,1,8.638742782592779,105.48330932998655
2023-11-27_2023-12-22,2023-11-27,2023-12-22,334.70001220703125,335.0,2.260322590939553,353.3900146484375,15.430587768554688,-2.9594268798828125,-16.585884994506834,0.33588499450683595,2,-19.545311874389647,85.9379974555969
2023-12-22_2024-01-19,2023-12-22,2024-01-19,353.3900146484375,352.5,2.5033559576244455,383.45001220703125,18.583234619140622,-12.366777587890628,30.05999755859375,0.0,0,17.693219970703122,103.63121742630003
2024-01-22_2024-02-16,2024-01-22,2024-02-16,381.7799987792969,382.5,4.274246962490588,473.32000732421875,33.35644122314453,-57.46356610107422,91.54000854492188,0.0,0,34.076442443847654,137.70765987014767
2024-02-16_2024-03-15,2024-02-16,2024-03-15,473.32000732421875,475.0,3.100794339044794,484.1000061035156,31.03335266113281,21.933346557617185,10.779998779296875,0.0,0,32.71334533691406,170.42100520706174
2024-03-18_2024-04-12,2024-03-18,2024-04-12,496.9800109863281,495.0,2.769330694347039,511.8999938964844,29.506050964355467,12.606057067871092,14.91998291015625,0.0,0,27.52603997802734,197.94704518508908
2024-04-15_2024-05-10,2024-04-15,2024-05-10,500.2300109863281,500.0,4.997654966706295,476.20001220703125,50.22955096435547,26.429563171386718,-14.530543548583985,0.2405350036621094,1,11.899019622802733,209.84606480789182
2024-05-13_2024-06-07,2024-05-13,2024-06-07,468.010009765625,470.0,2.944806671365056,492.9599914550781,29.553970214843748,6.593978759765623,-42.936600509643554,1.1865699920654298,5,-36.342621749877935,173.5034430580139
2024-06-10_2024-07-05,2024-06-10,2024-07-05,502.6000061035156,505.0,2.864584126354187,539.9099731445312,31.194793884277345,-3.7151792602539047,37.309967041015625,0.0,0,33.59478778076172,207.0982308387756
2024-07-08_2024-08-02,2024-07-08,2024-08-02,529.3200073242188,530.0,5.095344899017904,488.1400146484375,54.62135266113281,12.76136730957031,-19.969466735839845,0.24943499755859375,1,-7.208099426269534,199.89013141250607
2024-08-05_2024-08-30,2024-08-05,2024-08-30,475.7300109863281,475.0,4.627471355732134,521.3099975585938,44.758550964355464,-1.5514465942382856,8.61297087097168,0.24704499816894532,1,7.061524276733394,206.95165568923946
2024-08-30_2024-09-27,2024-08-30,2024-09-27,521.3099975585938,520.0,2.7217375590128863,567.3599853515625,29.687377563476566,-17.672607788085934,37.20723175048828,0.26279998779296876,1,19.53462396240235,226.4862796516418
2024-09-30_2024-10-25,2024-09-30,2024-10-25,572.4400024414062,570.0,2.902934792587199,573.25,35.67512243652344,32.42512243652344,0.80999755859375,0.0,0,33.23511999511719,259.721399646759
2024-10-28_2024-11-22,2024-10-28,2024-11-22,578.1599731445312,580.0,5.097523418399626,559.1400146484375,60.783706909179685,39.923721557617185,-78.23662387084961,0.8566800231933593,3,-38.31290231323243,221.40849733352655
2024-11-25_2024-12-20,2024-11-25,2024-12-20,565.1099853515625,565.0,2.890568285479203,585.25,32.779765380859374,12.529765380859374,2.993259307861328,0.2867699890136719,1,15.523024688720701,236.93152202224726
2024-12-23_2025-01-17,2024-12-23,2025-01-17,599.8499755859375,600.0,2.7973911323448997,612.77001953125,33.710324462890625,20.940304931640625,-60.80359558105469,1.2036199951171875,4,-39.86329064941406,197.0682313728332
2025-01-17_2025-02-14,2025-01-17,2025-02-14,612.77001953125,615.0,4.901876564301611,736.6699829101562,62.3044404296875,-59.36554248046875,123.89996337890625,0.0,0,64.5344208984375,261.6026522712707
2025-02-14_2025-03-14,2025-02-14,2025-03-14,736.6699829101562,735.0,2.5741961063998717,607.5999755859375,39.59664294433593,-87.80338146972656,-29.59870849609375,0.32875,1,-117.40208996582031,144.20056230545038
2025-03-17_2025-04-11,2025-03-17,2025-04-11,604.9000244140625,605.0,3.4625721822171265,543.5700073242188,41.99017553710937,-19.439817138671877,13.25561114501953,0.6144450073242187,2,-6.184205993652347,138.01635631179803
2025-04-14_2025-05-09,2025-04-14,2025-05-09,531.47998046875,530.0,5.56343062883623,592.489990234375,60.617020507812505,-1.872969726562495,29.156296630859377,0.273635009765625,1,27.28332690429688,165.2996832160949
2025-05-12_2025-06-06,2025-05-12,2025-06-06,639.4299926757812,640.0,2.882343683973754,697.7100219726562,37.43114733886719,-20.27887463378906,58.280029296875,0.0,0,38.00115466308594,203.30083787918085
2025-07-07_2025-08-01,2025-07-07,2025-08-01,718.3499755859375,720.0,3.992712605164253,750.010009765625,59.01332446289062,29.003314697265623,-110.13819940185547,0.7381749877929689,2,-81.13488470458985,122.165953174591
2025-08-04_2025-08-29,2025-08-04,2025-08-29,776.3699951171875,775.0,2.55079796095077,738.7000122070312,40.97725512695312,4.677267333984368,-12.485786376953126,0.375739990234375,1,-7.808519042968758,114.35743413162224
2025-08-29_2025-09-26,2025-08-29,2025-09-26,738.7000122070312,740.0,2.891742200459875,743.75,44.02258776855469,40.27258776855469,-15.22436163330078,0.37432501220703124,1,25.048226135253913,139.40566026687617
2025-09-29_2025-10-24,2025-09-29,2025-10-24,743.4000244140625,745.0,2.944121503471384,738.3599853515625,45.37317553710937,38.73316088867187,5.0400390625,0.0,0,43.77319995117187,183.17886021804804
2025-10-27_2025-11-21,2025-10-27,2025-11-21,750.8200073242188,750.0,3.8956314039784785,594.25,59.318367309570306,-96.4316326904297,-12.463300903320313,0.3332349853515625,1,-108.89493359375001,74.28392662429803
2025-11-24_2025-12-19,2025-11-24,2025-12-19,613.0499877929688,615.0,3.106916302335743,658.77001953125,40.04391223144531,-3.7261072998046885,-75.35666848754883,0.33670999145507813,1,-79.08277578735351,-4.798849163055479
2025-12-22_2026-01-16,2025-12-22,2026-01-16,661.5,662.5,2.4245653817082387,620.25,33.077,-9.173000000000002,3.5624017639160153,0.9875249938964845,3,-5.610598236083987,-10.409447399139466
2026-01-16_2026-02-13,2026-01-16,2026-02-13,620.25,620.0,4.075735590487707,639.77001953125,50.8095,31.03948046875,-35.56380523681641,0.32381500244140626,1,-4.524324768066407,-14.933772167205873
