period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,80.56298065185547,84.5,2.766279631984207,77.09923553466797,8.394213997527842,0.993449532195811,1.324745273590088,0.03975667953491211,1,2.318194805785899,2.318194805785899
2020-10-05_2020-10-30,2020-10-05,2020-10-30,77.51908111572266,81.0,2.7803546112055857,71.76526641845703,7.791529577007729,-1.4432040045352394,5.753814697265625,0.0,0,4.3106106927303856,6.628805498516284
2020-11-02_2020-11-27,2020-11-02,2020-11-27,73.19656372070312,76.5,3.4849303138591523,76.2022933959961,8.405134754908904,8.107428150904997,-4.532672981262207,0.07656488800048829,2,3.57475516964279,10.203560668159074
2020-12-28_2021-01-22,2020-12-28,2021-01-22,76.76526641845703,80.5,2.5724673973957493,77.27098846435547,7.684256483820558,4.455244948176027,-7.875091236114502,0.07928435134887696,2,-3.4198462879384746,6.7837143802206
2021-01-25_2021-02-19,2021-01-25,2021-02-19,77.4332046508789,81.0,2.4138632635348234,70.90648651123047,7.3050587108117035,-2.7884547779578277,6.5267181396484375,0.0,0,3.73826336169061,10.52197774191121
2021-02-22_2021-03-19,2021-02-22,2021-03-19,71.49809265136719,75.0,2.7693446796696084,73.95992279052734,7.461964598444581,6.421887388971925,-2.4618301391601562,0.0,0,3.9600572498117685,14.482034991722978
2021-03-22_2021-04-16,2021-03-22,2021-04-16,73.95992279052734,77.5,1.7707263799858233,73.9217529296875,6.159332936410685,2.581085866098185,-3.2804296760559084,0.036159351348876954,1,-0.6993438099577234,13.782691181765255
2021-04-19_2021-05-14,2021-04-19,2021-05-14,74.1030502319336,77.5,2.7071080275981876,74.7042007446289,7.409049011113989,4.6132497557428955,-1.7257139053344726,0.03677957916259766,1,2.887535850408423,16.670227032173678
2021-05-17_2021-06-11,2021-05-17,2021-06-11,76.21183013916016,79.5,1.940816377995881,76.2699966430664,6.246433223462287,3.016429866528693,-4.618045135498047,0.03697518920898438,1,-1.6016152689693541,15.068611763204323
2021-06-14_2021-07-09,2021-06-14,2021-07-09,75.44999694824219,75.0,1.5964878088438692,77.98999786376953,2.8590969543457034,-0.13090090942382782,2.5400009155273438,0.0,0,2.409100006103516,17.477711769307838
2021-07-12_2021-08-06,2021-07-12,2021-08-06,77.55000305175781,77.5,1.8342359006728624,75.44000244140625,2.894903045654297,0.834905487060547,-1.2047577934265137,0.15477000045776368,4,-0.36985230636596667,17.10785946294187
2021-08-09_2021-09-03,2021-08-09,2021-09-03,75.31999969482422,75.0,1.5197557155378412,77.26000213623047,2.60935969543457,0.34935755920410116,-0.8983606109619141,0.038360000610351566,1,-0.5490030517578129,16.55885641118406
2021-09-03_2021-10-01,2021-09-03,2021-10-01,77.26000213623047,77.0,1.7897229609515433,81.4000015258789,3.025482131958008,-1.3745193939208984,-6.778686950683594,0.07869000244140625,2,-8.153206344604492,8.405650066579568
