period,init_date,expiry_date,spot0,strike,premium_pct,settle,premium_income,option_pnl,hedge_pnl,txn_cost,n_switches,period_pnl,equity
2020-09-01_2020-10-02,2020-09-01,2020-10-02,99.43800354003906,497.5,5.7327800172140515,98.62999725341797,409.46312045288084,10.593117706298813,-17.973036403656007,0.04503499984741211,1,-7.379918697357194,-7.379918697357194
2020-10-05_2020-10-30,2020-10-05,2020-10-30,100.35800170898438,500.0,6.257240968687842,99.51399993896484,412.2012822875977,11.715282226562522,0.721834545135498,0.050160999298095706,1,12.43711677169802,5.0571980743408265
2020-11-02_2020-11-27,2020-11-02,2020-11-27,95.19999694824219,475.0,3.219327837497738,105.49600219726562,385.9296030578613,16.425605255126925,-10.296005249023438,0.0,0,6.129600006103487,11.186798080444314
2020-12-28_2021-01-22,2020-12-28,2021-01-22,108.74800109863281,545.0,3.627884613091033,108.21800231933594,444.1425028991699,7.360505218505864,0.529998779296875,0.0,0,7.890503997802739,19.07730207824705
2021-01-25_2021-02-19,2021-01-25,2021-02-19,107.57599639892578,540.0,4.9940731979636315,114.14600372314453,443.1688516082763,17.31485533142086,-15.173644020080566,0.051650001525878904,1,2.1412113113402924,21.218513389587343
2021-02-22_2021-03-19,2021-02-22,2021-03-19,110.052001953125,550.0,3.5528186027113424,94.16799926757812,447.7678940429688,-8.06410668945307,15.884002685546875,0.0,0,7.8198959960938055,29.03840938568115
2021-03-22_2021-04-16,2021-03-22,2021-04-16,95.33000183105469,475.0,3.0385712184318105,111.38200378417969,385.4633381652832,21.845341949462863,-16.052001953125,0.0,0,5.793339996337863,34.83174938201901
2021-04-19_2021-05-14,2021-04-19,2021-05-14,109.8740005493164,550.0,4.787416470823507,92.06600189208984,450.64625144958495,-7.287746658325204,0.009497558593749997,0.0505,1,-7.278249099731455,27.55350028228756
2021-05-17_2021-06-11,2021-05-17,2021-06-11,90.87999725341797,455.0,3.570774758825748,99.60199737548828,370.61024275207524,15.212240127563518,-8.722000122070312,0.0,0,6.490240005493206,34.043740287780764
2021-06-14_2021-07-09,2021-06-14,2021-07-09,101.86799621582031,510.0,2.790014635963548,113.27400207519531,413.81626779174803,17.090269866943345,11.406005859375,0.0,0,28.496275726318345,62.54001601409911
2021-07-12_2021-08-06,2021-07-12,2021-08-06,112.38600158691406,562.5,4.758256297851733,118.13600158691406,460.80922640991207,16.445227996826134,5.75,0.0,0,22.195227996826134,84.73524401092524
2021-08-09_2021-09-03,2021-08-09,2021-09-03,117.59200286865234,590.0,2.616171101845784,135.7259979248047,478.56081312561037,24.286811050415054,18.133995056152344,0.0,0,42.4208061065674,127.15605011749264
2021-09-03_2021-10-01,2021-09-03,2021-10-01,135.7259979248047,680.0,2.680602137912357,126.55999755859375,551.5505500793456,-1.8894523620606378,-9.166000366210938,0.0,0,-11.055452728271575,116.10059738922106
